Time,TimeLower,TimeUpper,TimeUnits,Value,ValueLower,ValueUpper,ValueUnits,ValueType,Model,Frequency,FrequencyLower,FrequencyUpper,FrequencyUnits,,
4924.8,,,seconds,0.466924672,0.023652943,0.023652943,mjy,Spectral,SpectralFlux,6.74E+14,,,hz,,
5097.6,,,seconds,0.453363782,0.022130864,0.022130864,mjy,Spectral,SpectralFlux,6.74E+14,,,hz,,
5356.8,,,seconds,0.431764392,0.021076494,0.021076494,mjy,Spectral,SpectralFlux,6.74E+14,,,hz,,
5788.8,,,seconds,0.403688913,0.025654975,0.025654975,mjy,Spectral,SpectralFlux,6.74E+14,,,hz,,
6307.2,,,seconds,0.368507917,0.018667458,0.018667458,mjy,Spectral,SpectralFlux,6.74E+14,,,hz,,
6998.4,,,seconds,0.340758598,0.017261765,0.017261765,mjy,Spectral,SpectralFlux,6.74E+14,,,hz,,
7344,,,seconds,0.305384382,0.0478158,0.0478158,mjy,Spectral,SpectralFlux,6.74E+14,,,hz,,
7516.8,,,seconds,0.321252727,0.012131273,0.012131273,mjy,Spectral,SpectralFlux,6.74E+14,,,hz,,
8208,,,seconds,0.299810489,0.006627256,0.006627256,mjy,Spectral,SpectralFlux,6.74E+14,,,hz,,
8812.8,,,seconds,0.276469242,0.015278255,0.015278255,mjy,Spectral,SpectralFlux,6.74E+14,,,hz,,
9072,,,seconds,0.298983225,0.014319434,0.014319434,mjy,Spectral,SpectralFlux,6.74E+14,,,hz,,
9158.4,,,seconds,0.286316794,0.036919052,0.036919052,mjy,Spectral,SpectralFlux,6.74E+14,,,hz,,
9331.2,,,seconds,0.278770505,0.009500014,0.009500014,mjy,Spectral,SpectralFlux,6.74E+14,,,hz,,
9676.8,,,seconds,0.263783012,0.009961078,0.009961078,mjy,Spectral,SpectralFlux,6.74E+14,,,hz,,
10195.2,,,seconds,0.24527135,0.01039155,0.01039155,mjy,Spectral,SpectralFlux,6.74E+14,,,hz,,
10886.4,,,seconds,0.231018533,0.007872709,0.007872709,mjy,Spectral,SpectralFlux,6.74E+14,,,hz,,
12182.4,,,seconds,0.213425753,0.005700599,0.005700599,mjy,Spectral,SpectralFlux,6.74E+14,,,hz,,
12787.2,,,seconds,0.192684519,0.013665113,0.013665113,mjy,Spectral,SpectralFlux,6.74E+14,,,hz,,
13046.4,,,seconds,0.191446232,0.014458937,0.014458937,mjy,Spectral,SpectralFlux,6.74E+14,,,hz,,
13305.6,,,seconds,0.205705935,0.004926016,0.004926016,mjy,Spectral,SpectralFlux,6.74E+14,,,hz,,
13651.2,,,seconds,0.191269984,0.005813483,0.005813483,mjy,Spectral,SpectralFlux,6.74E+14,,,hz,,
