Time,TimeLower,TimeUpper,TimeUnits,Value,ValueLower,ValueUpper,ValueUnits,ValueType,Wave,WaveLower,WaveUpper,WaveUnits,Filter,CalGroup,SlopGroup
71202.24,,,s,0.014723125,0.000919282,0.000919282,mJy,Spectral Flux,3.43E+14,,,Hz,I,I_offset,slop
73984.32,,,s,0.018213776,0.001602615,0.001602615,mJy,Spectral Flux,3.43E+14,,,Hz,I,I_offset,slop
77829.12,,,s,0.011178924,0.001160486,0.001160486,mJy,Spectral Flux,3.43E+14,,,Hz,I,I_offset,slop
78001.92,,,s,0.014335076,0.003156152,0.003156152,mJy,Spectral Flux,3.43E+14,,,Hz,I,I_offset,slop
84188.16,,,s,0.013464803,0.001508415,0.001508415,mJy,Spectral Flux,3.43E+14,,,Hz,I,I_offset,slop
79971.84,,,s,0.012145069,0.00276081,0.00276081,mJy,Spectral Flux,3.43E+14,,,Hz,I,I_offset,slop
182269.44,,,s,0.002654606,0.001040247,0.001040247,mJy,Spectral Flux,3.43E+14,,,Hz,I,I_offset,slop
8087.04,,,s,0.49249293,0.029898925,0.029898925,mJy,Spectral Flux,1.82E+14,,,Hz,H,H_offset,slop
8173.44,,,s,0.574910182,0.036888224,0.036888224,mJy,Spectral Flux,1.82E+14,,,Hz,H,H_offset,slop
8259.84,,,s,0.523359365,0.029958394,0.029958394,mJy,Spectral Flux,1.82E+14,,,Hz,H,H_offset,slop
8346.24,,,s,0.393006741,0.032262007,0.032262007,mJy,Spectral Flux,1.82E+14,,,Hz,H,H_offset,slop
8432.64,,,s,0.511917528,0.030635106,0.030635106,mJy,Spectral Flux,1.82E+14,,,Hz,H,H_offset,slop
7318.08,,,s,0.490681857,0.017312653,0.017312653,mJy,Spectral Flux,2.43E+14,,,Hz,J,J_offset,slop
7473.6,,,s,0.458352917,0.014130982,0.014130982,mJy,Spectral Flux,2.43E+14,,,Hz,J,J_offset,slop
7560,,,s,0.493400971,0.015651737,0.015651737,mJy,Spectral Flux,2.43E+14,,,Hz,J,J_offset,slop
7637.76,,,s,0.476869998,0.014701862,0.014701862,mJy,Spectral Flux,2.43E+14,,,Hz,J,J_offset,slop
7724.16,,,s,0.490681857,0.01512768,0.01512768,mJy,Spectral Flux,2.43E+14,,,Hz,J,J_offset,slop
7810.56,,,s,0.487079666,0.015016625,0.015016625,mJy,Spectral Flux,2.43E+14,,,Hz,J,J_offset,slop
7896.96,,,s,0.451647905,0.01432724,0.01432724,mJy,Spectral Flux,2.43E+14,,,Hz,J,J_offset,slop
932.9999904,,,s,2.174166514,0.533568388,0.533568388,mJy,Spectral Flux,5.48E+14,,,Hz,uvot-v,uvot-v_offset,slop
1242.999994,,,s,1.386280483,0.200462142,0.200462142,mJy,Spectral Flux,5.48E+14,,,Hz,uvot-v,uvot-v_offset,slop
18575.00001,,,s,0.267282856,0.119678891,0.119678891,mJy,Spectral Flux,5.48E+14,,,Hz,uvot-v,uvot-v_offset,slop
22163.00003,,,s,0.106713678,0.026728286,0.026728286,mJy,Spectral Flux,5.48E+14,,,Hz,uvot-v,uvot-v_offset,slop
35638.00001,,,s,0.133641428,0.039992696,0.039992696,mJy,Spectral Flux,5.48E+14,,,Hz,uvot-v,uvot-v_offset,slop
904.0000032,,,s,1.486332383,0.30112708,0.30112708,mJy,Spectral Flux,6.83E+14,,,Hz,uvot-b,uvot-b_offset,slop
1034.000035,,,s,1.267564846,0.131903956,0.131903956,mJy,Spectral Flux,6.83E+14,,,Hz,uvot-b,uvot-b_offset,slop
12671.00004,,,s,0.207185726,0.037640885,0.037640885,mJy,Spectral Flux,6.83E+14,,,Hz,uvot-b,uvot-b_offset,slop
16182.00003,,,s,0.187882708,0.028182406,0.028182406,mJy,Spectral Flux,6.83E+14,,,Hz,uvot-b,uvot-b_offset,slop
30031.00004,,,s,0.065630261,0.037640885,0.037640885,mJy,Spectral Flux,6.83E+14,,,Hz,uvot-b,uvot-b_offset,slop
33898,,,s,0.028182406,0.009394135,0.009394135,mJy,Spectral Flux,6.83E+14,,,Hz,uvot-b,uvot-b_offset,slop
