Times,TimeBnds,Fluxes,FluxErrs,Freqs,FluxType,FluxUnits
163.762,0.445,2.504347164e-09,4.5760138e-10,1,Integrated,cgs
164.954,0.615,2.51375112e-09,4.50919244e-10,1,Integrated,cgs
165.922,0.549,2.576238908e-09,4.75292628e-10,1,Integrated,cgs
167.018,0.638,2.418204568e-09,4.48935012e-10,1,Integrated,cgs
168.126,0.674,2.475083428e-09,4.53740392e-10,1,Integrated,cgs
169.0,0.484,2.479200108e-09,4.53277896e-10,1,Integrated,cgs
169.9534,0.3749,3.289059704e-09,6.00766008e-10,1,Integrated,cgs
170.7719,0.3928,2.981901832e-09,5.49586092e-10,1,Integrated,cgs
171.7751,0.526,2.690329144e-09,4.91738396e-10,1,Integrated,cgs
172.788,0.575,2.25116242e-09,4.1628908e-10,1,Integrated,cgs
173.834,0.486,2.565125036e-09,4.68299316e-10,1,Integrated,cgs
174.8117,0.4366,2.715737712e-09,4.9803292e-10,1,Integrated,cgs
175.8638,0.5192,2.80889884e-09,5.18670252e-10,1,Integrated,cgs
176.85,0.57,2.298659828e-09,4.27484044e-10,1,Integrated,cgs
178.008,0.557,2.29144846e-09,4.19739176e-10,1,Integrated,cgs
179.0571,0.4139,2.740107992e-09,5.06534776e-10,1,Integrated,cgs
180.453,0.828,1.718770936e-09,3.200251936e-10,1,Integrated,cgs
181.724,0.533,2.57162908e-09,4.71154996e-10,1,Integrated,cgs
182.849,0.596,2.452496396e-09,4.48660308e-10,1,Integrated,cgs
183.7689,0.4021,3.064503152e-09,5.6125364e-10,1,Integrated,cgs
184.815,0.557,2.365600304e-09,4.3240466e-10,1,Integrated,cgs
186.074,0.661,2.46430634e-09,4.50916528e-10,1,Integrated,cgs
187.135,0.614,2.235176432e-09,4.16225448e-10,1,Integrated,cgs
188.344,0.606,2.08506738e-09,3.839862176e-10,1,Integrated,cgs
189.612,0.546,2.371093996e-09,4.419514e-10,1,Integrated,cgs
190.94,0.708,2.054148048e-09,3.840814328e-10,1,Integrated,cgs
192.202,0.642,1.847313396e-09,3.4082696e-10,1,Integrated,cgs
193.772,0.715,2.186009072e-09,4.1086484e-10,1,Integrated,cgs
195.114,0.809,1.777743832e-09,3.324790236e-10,1,Integrated,cgs
196.369,0.531,2.353907924e-09,4.45202452e-10,1,Integrated,cgs
197.646,0.65,2.238794144e-09,4.3425542e-10,1,Integrated,cgs
198.762,0.563,2.398771588e-09,4.54454312e-10,1,Integrated,cgs
199.946,0.585,2.327518104e-09,4.43391268e-10,1,Integrated,cgs
201.125,0.566,2.496083928e-09,4.73310724e-10,1,Integrated,cgs
202.403,0.711,2.19907924e-09,4.15593396e-10,1,Integrated,cgs
203.699,0.721,2.263580748e-09,4.30771568e-10,1,Integrated,cgs
205.2,0.991,1.65449602e-09,3.09588692e-10,1,Integrated,cgs
206.698,0.779,2.043641396e-09,3.798372172e-10,1,Integrated,cgs
208.024,0.721,1.877083472e-09,3.557887832e-10,1,Integrated,cgs
209.573,0.795,1.762900116e-09,3.351461744e-10,1,Integrated,cgs
211.182,0.846,1.674952932e-09,3.195427544e-10,1,Integrated,cgs
212.761,0.784,1.883293412e-09,3.565996644e-10,1,Integrated,cgs
214.201,0.766,1.935214796e-09,3.656444876e-10,1,Integrated,cgs
215.826,0.971,1.48862602e-09,2.828375276e-10,1,Integrated,cgs
217.392,0.664,1.7168321e-09,3.295601772e-10,1,Integrated,cgs
219.035,0.73,1.863098012e-09,3.4608436e-10,1,Integrated,cgs
220.566,0.757,1.895525112e-09,3.52104762e-10,1,Integrated,cgs
222.076,0.788,1.672413472e-09,3.125868844e-10,1,Integrated,cgs
223.691,0.725,1.57736744e-09,2.961645904e-10,1,Integrated,cgs
225.51,0.792,1.819328508e-09,3.455181904e-10,1,Integrated,cgs
227.037,0.799,1.74183288e-09,3.263100952e-10,1,Integrated,cgs
228.568,0.743,1.82147764e-09,3.445572308e-10,1,Integrated,cgs
230.391,1.048,1.270902536e-09,2.44412064e-10,1,Integrated,cgs
232.313,0.81,1.903290156e-09,3.644797116e-10,1,Integrated,cgs
234.109,1.142,1.388728824e-09,2.702197676e-10,1,Integrated,cgs
235.758,0.815,1.635094856e-09,3.11497652e-10,1,Integrated,cgs
237.483,0.835,1.745363292e-09,3.443922144e-10,1,Integrated,cgs
239.148,0.927,1.643676252e-09,3.174069308e-10,1,Integrated,cgs
241.031,1.115,1.528740564e-09,2.9066632e-10,1,Integrated,cgs
243.107,1.337,1.261485388e-09,2.37625556e-10,1,Integrated,cgs
245.134,1.117,1.465727036e-09,2.760833788e-10,1,Integrated,cgs
247.071,1.12,1.315628848e-09,2.49441902e-10,1,Integrated,cgs
249.037,0.932,1.307940628e-09,2.580451036e-10,1,Integrated,cgs
250.884,0.707,1.614435408e-09,3.185363212e-10,1,Integrated,cgs
252.581,0.725,1.855868408e-09,3.527493464e-10,1,Integrated,cgs
254.551,1.165,1.332258528e-09,2.539439824e-10,1,Integrated,cgs
256.809,1.292,1.135306236e-09,2.18614914e-10,1,Integrated,cgs
258.848,0.866,1.557090172e-09,2.947254208e-10,1,Integrated,cgs
260.784,0.979,1.331108108e-09,2.603165332e-10,1,Integrated,cgs
263.04,1.159,1.312410388e-09,2.549749372e-10,1,Integrated,cgs
265.133,1.116,1.227667308e-09,2.341456228e-10,1,Integrated,cgs
267.095,0.726,1.786690336e-09,3.525382744e-10,1,Integrated,cgs
