Time,TimeLower,TimeUpper,TimeUnits,Value,ValueLower,ValueUpper,ValueUnits,ValueType,Wave,WaveLower,WaveUpper,WaveUnits,Filter,CalGroup,,
212.5563,,,s,4.48E-09,6.81E-10,-6.81E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,
213.1217,,,s,4.85E-09,6.10E-10,-6.10E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,
213.7939,,,s,4.75E-09,5.80E-10,-5.80E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,
214.5141,,,s,5.53E-09,6.75E-10,-6.75E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,
215.184,,,s,4.64E-09,5.71E-10,-5.71E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,
215.936,,,s,4.58E-09,5.77E-10,-5.77E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,
216.564,,,s,4.47E-09,6.66E-10,-6.66E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,
217.2061,,,s,4.86E-09,5.94E-10,-5.94E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,
217.8148,,,s,4.60E-09,6.91E-10,-6.91E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,
218.4489,,,s,3.11E-09,4.64E-10,-4.64E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,
219.1199,,,s,4.42E-09,6.72E-10,-6.72E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,
219.6812,,,s,4.42E-09,6.17E-10,-6.17E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,
220.2736,,,s,4.16E-09,6.20E-10,-6.20E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,
220.8192,,,s,4.54E-09,6.39E-10,-6.39E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,
221.4227,,,s,4.68E-09,6.56E-10,-6.56E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,
221.9953,,,s,4.15E-09,6.18E-10,-6.18E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,
222.5639,,,s,3.78E-09,5.74E-10,-5.74E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,
223.1624,,,s,4.29E-09,6.52E-10,-6.52E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,
223.7752,,,s,3.47E-09,5.17E-10,-5.17E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,
224.4572,,,s,4.52E-09,5.65E-10,-5.65E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,
225.1562,,,s,3.96E-09,5.90E-10,-5.90E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,
225.7696,,,s,3.61E-09,5.39E-10,-5.39E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,
226.461,,,s,3.03E-09,4.61E-10,-4.61E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,
227.1743,,,s,3.62E-09,5.40E-10,-5.40E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,
227.8507,,,s,3.41E-09,5.08E-10,-5.08E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,
228.5211,,,s,3.71E-09,5.65E-10,-5.65E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,
229.1992,,,s,3.38E-09,5.04E-10,-5.04E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,
229.7635,,,s,4.28E-09,6.65E-10,-6.65E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,
230.3052,,,s,4.68E-09,6.90E-10,-6.90E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,
230.7997,,,s,4.38E-09,6.46E-10,-6.46E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,
231.4392,,,s,3.28E-09,5.20E-10,-5.20E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,
232.0889,,,s,3.90E-09,5.94E-10,-5.94E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,
232.6941,,,s,3.45E-09,5.24E-10,-5.24E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,
233.3733,,,s,3.76E-09,5.60E-10,-5.60E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,
234.0246,,,s,3.58E-09,5.67E-10,-5.67E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,
234.6501,,,s,3.57E-09,5.32E-10,-5.32E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,
235.2695,,,s,3.95E-09,5.89E-10,-5.89E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,
235.9878,,,s,3.04E-09,4.63E-10,-4.63E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,
236.6229,,,s,3.77E-09,5.62E-10,-5.62E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,
237.3697,,,s,2.70E-09,4.11E-10,-4.11E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,
238.1732,,,s,2.89E-09,4.31E-10,-4.31E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,
239.0157,,,s,2.74E-09,4.17E-10,-4.17E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,
239.7354,,,s,3.43E-09,5.12E-10,-5.12E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,
240.597,,,s,2.30E-09,3.44E-10,-3.44E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,
241.4873,,,s,3.30E-09,4.92E-10,-4.92E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,
242.3071,,,s,2.79E-09,4.24E-10,-4.24E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,
242.9885,,,s,4.20E-09,6.39E-10,-6.39E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,
243.6903,,,s,2.65E-09,3.95E-10,-3.95E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,
