Time,TimeLower,TimeUpper,TimeUnits,Value,ValueLower,ValueUpper,ValueUnits,ValueType,Model,Frequency,FrequencyLower,FrequencyUpper,FrequencyUnits,,
205.9999776,,,seconds,0.812,0.064,0.064,mjy,Spectral,SpectralFlux,3.72E+14,,,hz,,
266.0000256,,,seconds,0.603,0.063,0.063,mjy,Spectral,SpectralFlux,3.72E+14,,,hz,,
325.9999872,,,seconds,0.4,0.059,0.059,mjy,Spectral,SpectralFlux,3.72E+14,,,hz,,
386.0000352,,,seconds,0.445,0.061,0.061,mjy,Spectral,SpectralFlux,3.72E+14,,,hz,,
445.9999968,,,seconds,0.299,0.059,0.059,mjy,Spectral,SpectralFlux,3.72E+14,,,hz,,
505.9999584,,,seconds,0.389,0.063,0.063,mjy,Spectral,SpectralFlux,3.72E+14,,,hz,,
566.0000064,,,seconds,0.393,0.063,0.063,mjy,Spectral,SpectralFlux,3.72E+14,,,hz,,
625.999968,,,seconds,0.36,0.061,0.061,mjy,Spectral,SpectralFlux,3.72E+14,,,hz,,
686.000016,,,seconds,0.316,0.062,0.062,mjy,Spectral,SpectralFlux,3.72E+14,,,hz,,
745.9999776,,,seconds,0.222,0.062,0.062,mjy,Spectral,SpectralFlux,3.72E+14,,,hz,,
205.9999776,,,seconds,0.273,0.019,0.019,mjy,Spectral,SpectralFlux,4.56E+14,,,hz,,
266.0000256,,,seconds,0.182,0.046,0.046,mjy,Spectral,SpectralFlux,4.56E+14,,,hz,,
325.9999872,,,seconds,0.195,0.02,0.02,mjy,Spectral,SpectralFlux,4.56E+14,,,hz,,
386.0000352,,,seconds,0.121,0.015,0.015,mjy,Spectral,SpectralFlux,4.56E+14,,,hz,,
445.9999968,,,seconds,0.113,0.015,0.015,mjy,Spectral,SpectralFlux,4.56E+14,,,hz,,
505.9999584,,,seconds,0.146,0.019,0.019,mjy,Spectral,SpectralFlux,4.56E+14,,,hz,,
566.0000064,,,seconds,0.107,0.019,0.019,mjy,Spectral,SpectralFlux,4.56E+14,,,hz,,
625.999968,,,seconds,0.071,0.014,0.014,mjy,Spectral,SpectralFlux,4.56E+14,,,hz,,
686.000016,,,seconds,0.087,0.019,0.019,mjy,Spectral,SpectralFlux,4.56E+14,,,hz,,
745.9999776,,,seconds,0.094,0.019,0.019,mjy,Spectral,SpectralFlux,4.56E+14,,,hz,,
205.9999776,,,seconds,0.222,0.011,0.011,mjy,Spectral,SpectralFlux,5.44E+14,,,hz,,
266.0000256,,,seconds,0.202,0.011,0.011,mjy,Spectral,SpectralFlux,5.44E+14,,,hz,,
325.9999872,,,seconds,0.163,0.011,0.011,mjy,Spectral,SpectralFlux,5.44E+14,,,hz,,
386.0000352,,,seconds,0.137,0.011,0.011,mjy,Spectral,SpectralFlux,5.44E+14,,,hz,,
445.9999968,,,seconds,0.112,0.01,0.01,mjy,Spectral,SpectralFlux,5.44E+14,,,hz,,
505.9999584,,,seconds,0.115,0.011,0.011,mjy,Spectral,SpectralFlux,5.44E+14,,,hz,,
566.0000064,,,seconds,0.094,0.01,0.01,mjy,Spectral,SpectralFlux,5.44E+14,,,hz,,
625.999968,,,seconds,0.072,0.01,0.01,mjy,Spectral,SpectralFlux,5.44E+14,,,hz,,
686.000016,,,seconds,0.094,0.011,0.011,mjy,Spectral,SpectralFlux,5.44E+14,,,hz,,
745.9999776,,,seconds,0.066,0.011,0.011,mjy,Spectral,SpectralFlux,5.44E+14,,,hz,,
98.479,,,seconds,1.16E-10,2.38E-11,2.38E-11,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
112.135,,,seconds,4.83E-11,1.38E-11,1.38E-11,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
131.583,,,seconds,6.18E-11,1.43E-11,1.43E-11,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
147.341,,,seconds,3.26E-11,1.13E-11,1.13E-11,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
171.555,,,seconds,4.13E-11,1.18E-11,1.18E-11,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
583.507,,,seconds,1.70E-11,6.02E-12,6.02E-12,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
757.277,,,seconds,6.16E-12,1.39E-12,1.39E-12,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
976.563,,,seconds,5.63E-12,1.24E-12,1.24E-12,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
