Time,TimeLower,TimeUpper,TimeUnits,Value,ValueLower,ValueUpper,ValueUnits,ValueType,Wave,WaveLower,WaveUpper,WaveUnits
4924.8,,,s,0.466924672,0.023652943,0.023652943,mJy,Spectral Flux,6.74E+14,,,Hz
5097.6,,,s,0.453363782,0.022130864,0.022130864,mJy,Spectral Flux,6.74E+14,,,Hz
5356.8,,,s,0.431764392,0.021076494,0.021076494,mJy,Spectral Flux,6.74E+14,,,Hz
5788.8,,,s,0.403688913,0.025654975,0.025654975,mJy,Spectral Flux,6.74E+14,,,Hz
6307.2,,,s,0.368507917,0.018667458,0.018667458,mJy,Spectral Flux,6.74E+14,,,Hz
6998.4,,,s,0.340758598,0.017261765,0.017261765,mJy,Spectral Flux,6.74E+14,,,Hz
7344,,,s,0.305384382,0.0478158,0.0478158,mJy,Spectral Flux,6.74E+14,,,Hz
7516.8,,,s,0.321252727,0.012131273,0.012131273,mJy,Spectral Flux,6.74E+14,,,Hz
8208,,,s,0.299810489,0.006627256,0.006627256,mJy,Spectral Flux,6.74E+14,,,Hz
8812.8,,,s,0.276469242,0.015278255,0.015278255,mJy,Spectral Flux,6.74E+14,,,Hz
9072,,,s,0.298983225,0.014319434,0.014319434,mJy,Spectral Flux,6.74E+14,,,Hz
9158.4,,,s,0.286316794,0.036919052,0.036919052,mJy,Spectral Flux,6.74E+14,,,Hz
9331.2,,,s,0.278770505,0.009500014,0.009500014,mJy,Spectral Flux,6.74E+14,,,Hz
9676.8,,,s,0.263783012,0.009961078,0.009961078,mJy,Spectral Flux,6.74E+14,,,Hz
10195.2,,,s,0.24527135,0.01039155,0.01039155,mJy,Spectral Flux,6.74E+14,,,Hz
10886.4,,,s,0.231018533,0.007872709,0.007872709,mJy,Spectral Flux,6.74E+14,,,Hz
12182.4,,,s,0.213425753,0.005700599,0.005700599,mJy,Spectral Flux,6.74E+14,,,Hz
12787.2,,,s,0.192684519,0.013665113,0.013665113,mJy,Spectral Flux,6.74E+14,,,Hz
13046.4,,,s,0.191446232,0.014458937,0.014458937,mJy,Spectral Flux,6.74E+14,,,Hz
13305.6,,,s,0.205705935,0.004926016,0.004926016,mJy,Spectral Flux,6.74E+14,,,Hz
13651.2,,,s,0.191269984,0.005813483,0.005813483,mJy,Spectral Flux,6.74E+14,,,Hz
14169.6,,,s,0.179492713,0.007769988,0.007769988,mJy,Spectral Flux,6.74E+14,,,Hz
14860.8,,,s,0.173958968,0.00448622,0.00448622,mJy,Spectral Flux,6.74E+14,,,Hz
15379.2,,,s,0.172522929,0.007786075,0.007786075,mJy,Spectral Flux,6.74E+14,,,Hz
16156.8,,,s,0.16294717,0.006603515,0.006603515,mJy,Spectral Flux,6.74E+14,,,Hz
16588.8,,,s,0.165976584,0.014064048,0.014064048,mJy,Spectral Flux,6.74E+14,,,Hz
16848,,,s,0.145494582,0.008442344,0.008442344,mJy,Spectral Flux,6.74E+14,,,Hz
17107.2,,,s,0.147654546,0.006799743,0.006799743,mJy,Spectral Flux,6.74E+14,,,Hz
17452.8,,,s,0.153054754,0.00620262,0.00620262,mJy,Spectral Flux,6.74E+14,,,Hz
18057.6,,,s,0.146570585,0.003644905,0.003644905,mJy,Spectral Flux,6.74E+14,,,Hz
18662.4,,,s,0.135908564,0.004381174,0.004381174,mJy,Spectral Flux,6.74E+14,,,Hz
19267.2,,,s,0.139459088,0.002954271,0.002954271,mJy,Spectral Flux,6.74E+14,,,Hz
20044.8,,,s,0.128720235,0.005097896,0.005097896,mJy,Spectral Flux,6.74E+14,,,Hz
20390.4,,,s,0.118262437,0.013397619,0.013397619,mJy,Spectral Flux,6.74E+14,,,Hz
20649.6,,,s,0.130631172,0.008061156,0.008061156,mJy,Spectral Flux,6.74E+14,,,Hz
20908.8,,,s,0.127422706,0.005868032,0.005868032,mJy,Spectral Flux,6.74E+14,,,Hz
21254.4,,,s,0.123721969,0.003874373,0.003874373,mJy,Spectral Flux,6.74E+14,,,Hz
21772.8,,,s,0.113879833,0.004719924,0.004719924,mJy,Spectral Flux,6.74E+14,,,Hz
41040,,,s,0.046994477,0.007228347,0.007228347,mJy,Spectral Flux,6.74E+14,,,Hz
41299.2,,,s,0.049209259,0.007115774,0.007115774,mJy,Spectral Flux,6.74E+14,,,Hz
41558.4,,,s,0.071787168,0.008595395,0.008595395,mJy,Spectral Flux,6.74E+14,,,Hz
42163.2,,,s,0.058458386,0.012383698,0.012383698,mJy,Spectral Flux,6.74E+14,,,Hz
42422.4,,,s,0.063218884,0.001164535,0.001164535,mJy,Spectral Flux,6.74E+14,,,Hz
42422.4,,,s,0.062754782,0.013120439,0.013120439,mJy,Spectral Flux,6.74E+14,,,Hz
42681.6,,,s,0.058297083,0.015302675,0.015302675,mJy,Spectral Flux,6.74E+14,,,Hz
42768,,,s,0.062065009,0.00114328,0.00114328,mJy,Spectral Flux,6.74E+14,,,Hz
43459.2,,,s,0.06392148,0.017838779,0.017838779,mJy,Spectral Flux,6.74E+14,,,Hz
43718.4,,,s,0.058297083,0.010470251,0.010470251,mJy,Spectral Flux,6.74E+14,,,Hz
43891.2,,,s,0.060373565,0.001668183,0.001668183,mJy,Spectral Flux,6.74E+14,,,Hz
43977.6,,,s,0.059380906,0.008696002,0.008696002,mJy,Spectral Flux,6.74E+14,,,Hz
44236.8,,,s,0.060373565,0.001112122,0.001112122,mJy,Spectral Flux,6.74E+14,,,Hz
44323.2,,,s,0.052341579,0.014366096,0.014366096,mJy,Spectral Flux,6.74E+14,,,Hz
44582.4,,,s,0.045294641,0.007008608,0.007008608,mJy,Spectral Flux,6.74E+14,,,Hz
44841.6,,,s,0.058999295,0.006575183,0.006575183,mJy,Spectral Flux,6.74E+14,,,Hz
45100.8,,,s,0.054305876,0.00410144,0.00410144,mJy,Spectral Flux,6.74E+14,,,Hz
45360,,,s,0.057656307,0.001593103,0.001593103,mJy,Spectral Flux,6.74E+14,,,Hz
45619.2,,,s,0.058189794,0.001607843,0.001607843,mJy,Spectral Flux,6.74E+14,,,Hz
45619.2,,,s,0.044755542,0.003256489,0.003256489,mJy,Spectral Flux,6.74E+14,,,Hz
45878.4,,,s,0.051718607,0.004048941,0.004048941,mJy,Spectral Flux,6.74E+14,,,Hz
46137.6,,,s,0.050448333,0.003577777,0.003577777,mJy,Spectral Flux,6.74E+14,,,Hz
46396.8,,,s,0.05058792,0.003913828,0.003913828,mJy,Spectral Flux,6.74E+14,,,Hz
46656,,,s,0.057127711,0.001052331,0.001052331,mJy,Spectral Flux,6.74E+14,,,Hz
46742.4,,,s,0.046994477,0.004198501,0.004198501,mJy,Spectral Flux,6.74E+14,,,Hz
47001.6,,,s,0.041961096,0.003671522,0.003671522,mJy,Spectral Flux,6.74E+14,,,Hz
47001.6,,,s,0.056085013,0.001549686,0.001549686,mJy,Spectral Flux,6.74E+14,,,Hz
47260.8,,,s,0.041691433,0.003532729,0.003532729,mJy,Spectral Flux,6.74E+14,,,Hz
47520,,,s,0.046307019,0.003881181,0.003881181,mJy,Spectral Flux,6.74E+14,,,Hz
47779.2,,,s,0.05455654,0.001507453,0.001507453,mJy,Spectral Flux,6.74E+14,,,Hz
47779.2,,,s,0.046563629,0.003988462,0.003988462,mJy,Spectral Flux,6.74E+14,,,Hz
48038.4,,,s,0.046009427,0.003771486,0.003771486,mJy,Spectral Flux,6.74E+14,,,Hz
48470.4,,,s,0.047736088,0.002989726,0.002989726,mJy,Spectral Flux,6.74E+14,,,Hz
48729.6,,,s,0.046435147,0.003464236,0.003464236,mJy,Spectral Flux,6.74E+14,,,Hz
48988.8,,,s,0.042077199,0.003565417,0.003565417,mJy,Spectral Flux,6.74E+14,,,Hz
49248,,,s,0.042741211,0.004330272,0.004330272,mJy,Spectral Flux,6.74E+14,,,Hz
49507.2,,,s,0.043817422,0.003551446,0.003551446,mJy,Spectral Flux,6.74E+14,,,Hz
49680,,,s,0.046009427,0.003347724,0.003347724,mJy,Spectral Flux,6.74E+14,,,Hz
49939.2,,,s,0.047167931,0.003779564,0.003779564,mJy,Spectral Flux,6.74E+14,,,Hz
50198.4,,,s,0.044060236,0.00413926,0.00413926,mJy,Spectral Flux,6.74E+14,,,Hz
50457.6,,,s,0.038163379,0.003198629,0.003198629,mJy,Spectral Flux,6.74E+14,,,Hz
50716.8,,,s,0.03631172,0.003411322,0.003411322,mJy,Spectral Flux,6.74E+14,,,Hz
50976,,,s,0.038623073,0.003948621,0.003948621,mJy,Spectral Flux,6.74E+14,,,Hz
51235.2,,,s,0.043415701,0.003119012,0.003119012,mJy,Spectral Flux,6.74E+14,,,Hz
51580.8,,,s,0.04108155,0.004313476,0.004313476,mJy,Spectral Flux,6.74E+14,,,Hz
51753.6,,,s,0.04108155,0.005335088,0.005335088,mJy,Spectral Flux,6.74E+14,,,Hz
52012.8,,,s,0.03191882,0.005585681,0.005585681,mJy,Spectral Flux,6.74E+14,,,Hz
52272,,,s,0.04119522,0.008081688,0.008081688,mJy,Spectral Flux,6.74E+14,,,Hz
52531.2,,,s,0.03959559,0.006527931,0.006527931,mJy,Spectral Flux,6.74E+14,,,Hz
52790.4,,,s,0.039449983,0.005050534,0.005050534,mJy,Spectral Flux,6.74E+14,,,Hz
53136,,,s,0.037918122,0.005063963,0.005063963,mJy,Spectral Flux,6.74E+14,,,Hz
53395.2,,,s,0.038623073,0.006189731,0.006189731,mJy,Spectral Flux,6.74E+14,,,Hz
53654.4,,,s,0.038374862,0.00675081,0.00675081,mJy,Spectral Flux,6.74E+14,,,Hz
53913.6,,,s,0.04516966,0.005907597,0.005907597,mJy,Spectral Flux,6.74E+14,,,Hz
54172.8,,,s,0.042349357,0.005109681,0.005109681,mJy,Spectral Flux,6.74E+14,,,Hz
54432,,,s,0.036111608,0.004656403,0.004656403,mJy,Spectral Flux,6.74E+14,,,Hz
54691.2,,,s,0.035879536,0.003833368,0.003833368,mJy,Spectral Flux,6.74E+14,,,Hz
54950.4,,,s,0.034805415,0.003333925,0.003333925,mJy,Spectral Flux,6.74E+14,,,Hz
55209.6,,,s,0.040072536,0.004133715,0.004133715,mJy,Spectral Flux,6.74E+14,,,Hz
55468.8,,,s,0.039961964,0.003386182,0.003386182,mJy,Spectral Flux,6.74E+14,,,Hz
55728,,,s,0.035452496,0.004604067,0.004604067,mJy,Spectral Flux,6.74E+14,,,Hz
55987.2,,,s,0.037570487,0.004290858,0.004290858,mJy,Spectral Flux,6.74E+14,,,Hz
56246.4,,,s,0.032512235,0.003024432,0.003024432,mJy,Spectral Flux,6.74E+14,,,Hz
56505.6,,,s,0.039341129,0.003442279,0.003442279,mJy,Spectral Flux,6.74E+14,,,Hz
56764.8,,,s,0.034805415,0.003590381,0.003590381,mJy,Spectral Flux,6.74E+14,,,Hz
57024,,,s,0.033025304,0.004897206,0.004897206,mJy,Spectral Flux,6.74E+14,,,Hz
57283.2,,,s,0.038980448,0.004739106,0.004739106,mJy,Spectral Flux,6.74E+14,,,Hz
57542.4,,,s,0.034044489,0.005769529,0.005769529,mJy,Spectral Flux,6.74E+14,,,Hz
57801.6,,,s,0.038872889,0.008628584,0.008628584,mJy,Spectral Flux,6.74E+14,,,Hz
58060.8,,,s,0.034805415,0.007052534,0.007052534,mJy,Spectral Flux,6.74E+14,,,Hz
58320,,,s,0.037813495,0.009612394,0.009612394,mJy,Spectral Flux,6.74E+14,,,Hz
58579.2,,,s,0.041691433,0.012594947,0.012594947,mJy,Spectral Flux,6.74E+14,,,Hz
5011.2,,,s,0.619189915,0.035358289,0.035358289,mJy,Spectral Flux,5.44E+14,,,Hz
8899.2,,,s,0.375858066,0.004846493,0.004846493,mJy,Spectral Flux,5.44E+14,,,Hz
12614.4,,,s,0.29690935,0.087508358,0.087508358,mJy,Spectral Flux,5.44E+14,,,Hz
12873.6,,,s,0.276072962,0.005085452,0.005085452,mJy,Spectral Flux,5.44E+14,,,Hz
13046.4,,,s,0.305227651,0.070281264,0.070281264,mJy,Spectral Flux,5.44E+14,,,Hz
13651.2,,,s,0.265842171,0.061212422,0.061212422,mJy,Spectral Flux,5.44E+14,,,Hz
14083.2,,,s,0.240228138,0.061952322,0.061952322,mJy,Spectral Flux,5.44E+14,,,Hz
15984,,,s,0.201661909,0.044576996,0.044576996,mJy,Spectral Flux,5.44E+14,,,Hz
16675.2,,,s,0.225644044,0.00498782,0.00498782,mJy,Spectral Flux,5.44E+14,,,Hz
20476.8,,,s,0.166964397,0.01445531,0.01445531,mJy,Spectral Flux,5.44E+14,,,Hz
41126.4,,,s,0.079547013,0.006227568,0.006227568,mJy,Spectral Flux,5.44E+14,,,Hz
41299.2,,,s,0.089171049,0.006159718,0.006159718,mJy,Spectral Flux,5.44E+14,,,Hz
41644.8,,,s,0.087221565,0.008113737,0.008113737,mJy,Spectral Flux,5.44E+14,,,Hz
42249.6,,,s,0.075966807,0.010635138,0.010635138,mJy,Spectral Flux,5.44E+14,,,Hz
42508.8,,,s,0.071684271,0.009969572,0.009969572,mJy,Spectral Flux,5.44E+14,,,Hz
42768,,,s,0.074580257,0.014631173,0.014631173,mJy,Spectral Flux,5.44E+14,,,Hz
43027.2,,,s,0.061294834,0.013718475,0.013718475,mJy,Spectral Flux,5.44E+14,,,Hz
43286.4,,,s,0.066592278,0.014413432,0.014413432,mJy,Spectral Flux,5.44E+14,,,Hz
43545.6,,,s,0.073692599,0.01099549,0.01099549,mJy,Spectral Flux,5.44E+14,,,Hz
43804.8,,,s,0.074374468,0.009727201,0.009727201,mJy,Spectral Flux,5.44E+14,,,Hz
44064,,,s,0.07932752,0.008840665,0.008840665,mJy,Spectral Flux,5.44E+14,,,Hz
44323.2,,,s,0.080579371,0.009648125,0.009648125,mJy,Spectral Flux,5.44E+14,,,Hz
44582.4,,,s,0.074169248,0.004986805,0.004986805,mJy,Spectral Flux,5.44E+14,,,Hz
44841.6,,,s,0.075548157,0.003896616,0.003896616,mJy,Spectral Flux,5.44E+14,,,Hz
45187.2,,,s,0.074855527,0.003791947,0.003791947,mJy,Spectral Flux,5.44E+14,,,Hz
45705.6,,,s,0.068457948,0.002585136,0.002585136,mJy,Spectral Flux,5.44E+14,,,Hz
45964.8,,,s,0.064956688,0.002572575,0.002572575,mJy,Spectral Flux,5.44E+14,,,Hz
46224,,,s,0.067643158,0.002616669,0.002616669,mJy,Spectral Flux,5.44E+14,,,Hz
46483.2,,,s,0.070831082,0.00332713,0.00332713,mJy,Spectral Flux,5.44E+14,,,Hz
46742.4,,,s,0.067643158,0.002741273,0.002741273,mJy,Spectral Flux,5.44E+14,,,Hz
46915.2,,,s,0.068018003,0.008770565,0.008770565,mJy,Spectral Flux,5.44E+14,,,Hz
47001.6,,,s,0.067830321,0.002748858,0.002748858,mJy,Spectral Flux,5.44E+14,,,Hz
47347.2,,,s,0.064183571,0.002660186,0.002660186,mJy,Spectral Flux,5.44E+14,,,Hz
47606.4,,,s,0.066776534,0.002829159,0.002829159,mJy,Spectral Flux,5.44E+14,,,Hz
47865.6,,,s,0.06739441,0.002731192,0.002731192,mJy,Spectral Flux,5.44E+14,,,Hz
48124.8,,,s,0.074580257,0.006182186,0.006182186,mJy,Spectral Flux,5.44E+14,,,Hz
48124.8,,,s,0.069282552,0.002169594,0.002169594,mJy,Spectral Flux,5.44E+14,,,Hz
48470.4,,,s,0.066592278,0.002637351,0.002637351,mJy,Spectral Flux,5.44E+14,,,Hz
48729.6,,,s,0.063419655,0.003329465,0.003329465,mJy,Spectral Flux,5.44E+14,,,Hz
48988.8,,,s,0.06073288,0.003076538,0.003076538,mJy,Spectral Flux,5.44E+14,,,Hz
49248,,,s,0.063419655,0.003271053,0.003271053,mJy,Spectral Flux,5.44E+14,,,Hz
49507.2,,,s,0.061294834,0.003726005,0.003726005,mJy,Spectral Flux,5.44E+14,,,Hz
49766.4,,,s,0.062607141,0.003113819,0.003113819,mJy,Spectral Flux,5.44E+14,,,Hz
50025.6,,,s,0.064598714,0.00273689,0.00273689,mJy,Spectral Flux,5.44E+14,,,Hz
50284.8,,,s,0.063186438,0.002444268,0.002444268,mJy,Spectral Flux,5.44E+14,,,Hz
50544,,,s,0.055901553,0.002728823,0.002728823,mJy,Spectral Flux,5.44E+14,,,Hz
50803.2,,,s,0.056940841,0.003933334,0.003933334,mJy,Spectral Flux,5.44E+14,,,Hz
51062.4,,,s,0.0605653,0.003625876,0.003625876,mJy,Spectral Flux,5.44E+14,,,Hz
51235.2,,,s,0.071223592,0.005903942,0.005903942,mJy,Spectral Flux,5.44E+14,,,Hz
51321.6,,,s,0.05657491,0.004220701,0.004220701,mJy,Spectral Flux,5.44E+14,,,Hz
51580.8,,,s,0.05657491,0.004272808,0.004272808,mJy,Spectral Flux,5.44E+14,,,Hz
51840,,,s,0.058536112,0.004528755,0.004528755,mJy,Spectral Flux,5.44E+14,,,Hz
52099.2,,,s,0.047931815,0.005209326,0.005209326,mJy,Spectral Flux,5.44E+14,,,Hz
52358.4,,,s,0.050052281,0.005624182,0.005624182,mJy,Spectral Flux,5.44E+14,,,Hz
52617.6,,,s,0.058536112,0.005391375,0.005391375,mJy,Spectral Flux,5.44E+14,,,Hz
52963.2,,,s,0.05907774,0.004951547,0.004951547,mJy,Spectral Flux,5.44E+14,,,Hz
53222.4,,,s,0.060010034,0.005029687,0.005029687,mJy,Spectral Flux,5.44E+14,,,Hz
53481.6,,,s,0.057098392,0.004470113,0.004470113,mJy,Spectral Flux,5.44E+14,,,Hz
53568,,,s,0.053533283,0.005423657,0.005423657,mJy,Spectral Flux,5.44E+14,,,Hz
53740.8,,,s,0.060176077,0.0052653,0.0052653,mJy,Spectral Flux,5.44E+14,,,Hz
54000,,,s,0.053533283,0.004831986,0.004831986,mJy,Spectral Flux,5.44E+14,,,Hz
54259.2,,,s,0.05373087,0.004354941,0.004354941,mJy,Spectral Flux,5.44E+14,,,Hz
54518.4,,,s,0.048553873,0.00393534,0.00393534,mJy,Spectral Flux,5.44E+14,,,Hz
54777.6,,,s,0.05523621,0.003255964,0.003255964,mJy,Spectral Flux,5.44E+14,,,Hz
55036.8,,,s,0.056056228,0.003201041,0.003201041,mJy,Spectral Flux,5.44E+14,,,Hz
55036.8,,,s,0.052074352,0.006235093,0.006235093,mJy,Spectral Flux,5.44E+14,,,Hz
55296,,,s,0.058536112,0.003666135,0.003666135,mJy,Spectral Flux,5.44E+14,,,Hz
55555.2,,,s,0.050190772,0.004206694,0.004206694,mJy,Spectral Flux,5.44E+14,,,Hz
55814.4,,,s,0.056418804,0.004261018,0.004261018,mJy,Spectral Flux,5.44E+14,,,Hz
56073.6,,,s,0.055901553,0.003037747,0.003037747,mJy,Spectral Flux,5.44E+14,,,Hz
56332.8,,,s,0.054528541,0.003113804,0.003113804,mJy,Spectral Flux,5.44E+14,,,Hz
56592,,,s,0.05255619,0.004017701,0.004017701,mJy,Spectral Flux,5.44E+14,,,Hz
56851.2,,,s,0.048688217,0.00358748,0.00358748,mJy,Spectral Flux,5.44E+14,,,Hz
57110.4,,,s,0.048553873,0.003667021,0.003667021,mJy,Spectral Flux,5.44E+14,,,Hz
57369.6,,,s,0.046927117,0.00380349,0.00380349,mJy,Spectral Flux,5.44E+14,,,Hz
57628.8,,,s,0.053533283,0.003451418,0.003451418,mJy,Spectral Flux,5.44E+14,,,Hz
57888,,,s,0.05657491,0.005940246,0.005940246,mJy,Spectral Flux,5.44E+14,,,Hz
58147.2,,,s,0.046797632,0.005560185,0.005560185,mJy,Spectral Flux,5.44E+14,,,Hz
58406.4,,,s,0.051123888,0.006780505,0.006780505,mJy,Spectral Flux,5.44E+14,,,Hz
58665.6,,,s,0.051454561,0.00744045,0.00744045,mJy,Spectral Flux,5.44E+14,,,Hz
58924.8,,,s,0.04662554,0.011680689,0.011680689,mJy,Spectral Flux,5.44E+14,,,Hz
