Time,TimeLower,TimeUpper,TimeUnits,Value,ValueLower,ValueUpper,ValueUnits,ValueType,Model,Frequency,FrequencyLower,FrequencyUpper,FrequencyUnits,,
8035.2,,,seconds,1.191,0.054,0.054,mjy,Spectral,SpectralFlux,6.29E+14,,,hz,,
8121.6,,,seconds,1.18,0.053,0.053,mjy,Spectral,SpectralFlux,6.29E+14,,,hz,,
8121.6,,,seconds,1.17,0.053,0.053,mjy,Spectral,SpectralFlux,6.29E+14,,,hz,,
8208,,,seconds,1.138,0.051,0.051,mjy,Spectral,SpectralFlux,6.29E+14,,,hz,,
8899.2,,,seconds,1.057,0.029,0.029,mjy,Spectral,SpectralFlux,6.29E+14,,,hz,,
8985.6,,,seconds,1.047,0.029,0.029,mjy,Spectral,SpectralFlux,6.29E+14,,,hz,,
9072,,,seconds,1.028,0.028,0.028,mjy,Spectral,SpectralFlux,6.29E+14,,,hz,,
9158.4,,,seconds,0.991,0.036,0.036,mjy,Spectral,SpectralFlux,6.29E+14,,,hz,,
10454.4,,,seconds,0.855,0.031,0.031,mjy,Spectral,SpectralFlux,6.29E+14,,,hz,,
10540.8,,,seconds,0.84,0.03,0.03,mjy,Spectral,SpectralFlux,6.29E+14,,,hz,,
10540.8,,,seconds,0.863,0.031,0.031,mjy,Spectral,SpectralFlux,6.29E+14,,,hz,,
10627.2,,,seconds,0.832,0.023,0.023,mjy,Spectral,SpectralFlux,6.29E+14,,,hz,,
11232,,,seconds,0.752,0.034,0.034,mjy,Spectral,SpectralFlux,6.29E+14,,,hz,,
11318.4,,,seconds,0.759,0.021,0.021,mjy,Spectral,SpectralFlux,6.29E+14,,,hz,,
11318.4,,,seconds,0.752,0.034,0.034,mjy,Spectral,SpectralFlux,6.29E+14,,,hz,,
11318.4,,,seconds,0.766,0.021,0.021,mjy,Spectral,SpectralFlux,6.29E+14,,,hz,,
11318.4,,,seconds,0.752,0.027,0.027,mjy,Spectral,SpectralFlux,6.29E+14,,,hz,,
11404.8,,,seconds,0.731,0.026,0.026,mjy,Spectral,SpectralFlux,6.29E+14,,,hz,,
11404.8,,,seconds,0.752,0.02,0.02,mjy,Spectral,SpectralFlux,6.29E+14,,,hz,,
11491.2,,,seconds,0.759,0.021,0.021,mjy,Spectral,SpectralFlux,6.29E+14,,,hz,,
12096,,,seconds,0.673,0.036,0.036,mjy,Spectral,SpectralFlux,6.29E+14,,,hz,,
12182.4,,,seconds,0.686,0.019,0.019,mjy,Spectral,SpectralFlux,6.29E+14,,,hz,,
12182.4,,,seconds,0.686,0.025,0.025,mjy,Spectral,SpectralFlux,6.29E+14,,,hz,,
12268.8,,,seconds,0.667,0.018,0.018,mjy,Spectral,SpectralFlux,6.29E+14,,,hz,,
12268.8,,,seconds,0.673,0.018,0.018,mjy,Spectral,SpectralFlux,6.29E+14,,,hz,,
12355.2,,,seconds,0.679,0.019,0.019,mjy,Spectral,SpectralFlux,6.29E+14,,,hz,,
13046.4,,,seconds,0.619,0.017,0.017,mjy,Spectral,SpectralFlux,6.29E+14,,,hz,,
13219.2,,,seconds,0.619,0.017,0.017,mjy,Spectral,SpectralFlux,6.29E+14,,,hz,,
18921.6,,,seconds,0.429,0.027,0.027,mjy,Spectral,SpectralFlux,6.29E+14,,,hz,,
19008,,,seconds,0.387,0.024,0.024,mjy,Spectral,SpectralFlux,6.29E+14,,,hz,,
19094.4,,,seconds,0.421,0.03,0.03,mjy,Spectral,SpectralFlux,6.29E+14,,,hz,,
19785.6,,,seconds,0.402,0.029,0.029,mjy,Spectral,SpectralFlux,6.29E+14,,,hz,,
19785.6,,,seconds,0.398,0.021,0.021,mjy,Spectral,SpectralFlux,6.29E+14,,,hz,,
19872,,,seconds,0.387,0.017,0.017,mjy,Spectral,SpectralFlux,6.29E+14,,,hz,,
19958.4,,,seconds,0.384,0.021,0.021,mjy,Spectral,SpectralFlux,6.29E+14,,,hz,,
20649.6,,,seconds,0.377,0.017,0.017,mjy,Spectral,SpectralFlux,6.29E+14,,,hz,,
20822.4,,,seconds,0.384,0.014,0.014,mjy,Spectral,SpectralFlux,6.29E+14,,,hz,,
84585.6,,,seconds,0.084,0.006,0.006,mjy,Spectral,SpectralFlux,6.29E+14,,,hz,,
84672,,,seconds,0.081,0.006,0.006,mjy,Spectral,SpectralFlux,6.29E+14,,,hz,,
98755.2,,,seconds,0.069,0.004,0.004,mjy,Spectral,SpectralFlux,6.29E+14,,,hz,,
4579.2,,,seconds,4.169,0.188,0.188,mjy,Spectral,SpectralFlux,3.94E+14,,,hz,,
4579.2,,,seconds,4.169,0.151,0.151,mjy,Spectral,SpectralFlux,3.94E+14,,,hz,,
5097.6,,,seconds,3.802,0.171,0.171,mjy,Spectral,SpectralFlux,3.94E+14,,,hz,,
5184,,,seconds,3.733,0.168,0.168,mjy,Spectral,SpectralFlux,3.94E+14,,,hz,,
5702.4,,,seconds,3.192,0.144,0.144,mjy,Spectral,SpectralFlux,3.94E+14,,,hz,,
5788.8,,,seconds,3.133,0.141,0.141,mjy,Spectral,SpectralFlux,3.94E+14,,,hz,,
6566.4,,,seconds,2.78,0.125,0.125,mjy,Spectral,SpectralFlux,3.94E+14,,,hz,,
6652.8,,,seconds,2.729,0.123,0.123,mjy,Spectral,SpectralFlux,3.94E+14,,,hz,,
7776,,,seconds,2.188,0.118,0.118,mjy,Spectral,SpectralFlux,3.94E+14,,,hz,,
7862.4,,,seconds,2.27,0.122,0.122,mjy,Spectral,SpectralFlux,3.94E+14,,,hz,,
7862.4,,,seconds,2.229,0.1,0.1,mjy,Spectral,SpectralFlux,3.94E+14,,,hz,,
7948.8,,,seconds,2.188,0.118,0.118,mjy,Spectral,SpectralFlux,3.94E+14,,,hz,,
8035.2,,,seconds,2.188,0.137,0.137,mjy,Spectral,SpectralFlux,3.94E+14,,,hz,,
8208,,,seconds,2.032,0.074,0.074,mjy,Spectral,SpectralFlux,3.94E+14,,,hz,,
8294.4,,,seconds,2.051,0.092,0.092,mjy,Spectral,SpectralFlux,3.94E+14,,,hz,,
8553.6,,,seconds,1.977,0.106,0.106,mjy,Spectral,SpectralFlux,3.94E+14,,,hz,,
8640,,,seconds,1.959,0.105,0.105,mjy,Spectral,SpectralFlux,3.94E+14,,,hz,,
8726.4,,,seconds,1.941,0.104,0.104,mjy,Spectral,SpectralFlux,3.94E+14,,,hz,,
8812.8,,,seconds,1.923,0.103,0.103,mjy,Spectral,SpectralFlux,3.94E+14,,,hz,,
8812.8,,,seconds,1.837,0.066,0.066,mjy,Spectral,SpectralFlux,3.94E+14,,,hz,,
8899.2,,,seconds,1.82,0.066,0.066,mjy,Spectral,SpectralFlux,3.94E+14,,,hz,,
9590.4,,,seconds,1.629,0.073,0.073,mjy,Spectral,SpectralFlux,3.94E+14,,,hz,,
9763.2,,,seconds,1.6,0.058,0.058,mjy,Spectral,SpectralFlux,3.94E+14,,,hz,,
10281.6,,,seconds,1.472,0.066,0.066,mjy,Spectral,SpectralFlux,3.94E+14,,,hz,,
10368,,,seconds,1.472,0.079,0.079,mjy,Spectral,SpectralFlux,3.94E+14,,,hz,,
10454.4,,,seconds,1.5,0.094,0.094,mjy,Spectral,SpectralFlux,3.94E+14,,,hz,,
10972.8,,,seconds,1.38,0.062,0.062,mjy,Spectral,SpectralFlux,3.94E+14,,,hz,,
11059.2,,,seconds,1.343,0.072,0.072,mjy,Spectral,SpectralFlux,3.94E+14,,,hz,,
11059.2,,,seconds,1.38,0.074,0.074,mjy,Spectral,SpectralFlux,3.94E+14,,,hz,,
11145.6,,,seconds,1.393,0.087,0.087,mjy,Spectral,SpectralFlux,3.94E+14,,,hz,,
11145.6,,,seconds,1.368,0.074,0.074,mjy,Spectral,SpectralFlux,3.94E+14,,,hz,,
11145.6,,,seconds,1.393,0.087,0.087,mjy,Spectral,SpectralFlux,3.94E+14,,,hz,,
11232,,,seconds,1.331,0.06,0.06,mjy,Spectral,SpectralFlux,3.94E+14,,,hz,,
11232,,,seconds,1.343,0.084,0.084,mjy,Spectral,SpectralFlux,3.94E+14,,,hz,,
11836.8,,,seconds,1.282,0.069,0.069,mjy,Spectral,SpectralFlux,3.94E+14,,,hz,,
11836.8,,,seconds,1.259,0.079,0.079,mjy,Spectral,SpectralFlux,3.94E+14,,,hz,,
11923.2,,,seconds,1.271,0.068,0.068,mjy,Spectral,SpectralFlux,3.94E+14,,,hz,,
11923.2,,,seconds,1.191,0.043,0.043,mjy,Spectral,SpectralFlux,3.94E+14,,,hz,,
12009.6,,,seconds,1.247,0.067,0.067,mjy,Spectral,SpectralFlux,3.94E+14,,,hz,,
12009.6,,,seconds,1.191,0.043,0.043,mjy,Spectral,SpectralFlux,3.94E+14,,,hz,,
12787.2,,,seconds,1.138,0.061,0.061,mjy,Spectral,SpectralFlux,3.94E+14,,,hz,,
12873.6,,,seconds,1.127,0.061,0.061,mjy,Spectral,SpectralFlux,3.94E+14,,,hz,,
15379.2,,,seconds,0.84,0.03,0.03,mjy,Spectral,SpectralFlux,3.94E+14,,,hz,,
15465.6,,,seconds,0.871,0.032,0.032,mjy,Spectral,SpectralFlux,3.94E+14,,,hz,,
15638.4,,,seconds,0.855,0.031,0.031,mjy,Spectral,SpectralFlux,3.94E+14,,,hz,,
15724.8,,,seconds,0.817,0.03,0.03,mjy,Spectral,SpectralFlux,3.94E+14,,,hz,,
15897.6,,,seconds,0.84,0.03,0.03,mjy,Spectral,SpectralFlux,3.94E+14,,,hz,,
16243.2,,,seconds,0.855,0.068,0.068,mjy,Spectral,SpectralFlux,3.94E+14,,,hz,,
16243.2,,,seconds,0.817,0.065,0.065,mjy,Spectral,SpectralFlux,3.94E+14,,,hz,,
16675.2,,,seconds,0.78,0.049,0.049,mjy,Spectral,SpectralFlux,3.94E+14,,,hz,,
16761.6,,,seconds,0.752,0.04,0.04,mjy,Spectral,SpectralFlux,3.94E+14,,,hz,,
17280,,,seconds,0.766,0.048,0.048,mjy,Spectral,SpectralFlux,3.94E+14,,,hz,,
17366.4,,,seconds,0.752,0.053,0.053,mjy,Spectral,SpectralFlux,3.94E+14,,,hz,,
18057.6,,,seconds,0.718,0.039,0.039,mjy,Spectral,SpectralFlux,3.94E+14,,,hz,,
18230.4,,,seconds,0.738,0.04,0.04,mjy,Spectral,SpectralFlux,3.94E+14,,,hz,,
18748.8,,,seconds,0.738,0.052,0.052,mjy,Spectral,SpectralFlux,3.94E+14,,,hz,,
18835.2,,,seconds,0.724,0.064,0.064,mjy,Spectral,SpectralFlux,3.94E+14,,,hz,,
18921.6,,,seconds,0.698,0.056,0.056,mjy,Spectral,SpectralFlux,3.94E+14,,,hz,,
19440,,,seconds,0.731,0.052,0.052,mjy,Spectral,SpectralFlux,3.94E+14,,,hz,,
19526.4,,,seconds,0.711,0.051,0.051,mjy,Spectral,SpectralFlux,3.94E+14,,,hz,,
19612.8,,,seconds,0.718,0.057,0.057,mjy,Spectral,SpectralFlux,3.94E+14,,,hz,,
19699.2,,,seconds,0.686,0.055,0.055,mjy,Spectral,SpectralFlux,3.94E+14,,,hz,,
20390.4,,,seconds,0.655,0.035,0.035,mjy,Spectral,SpectralFlux,3.94E+14,,,hz,,
20476.8,,,seconds,0.643,0.035,0.035,mjy,Spectral,SpectralFlux,3.94E+14,,,hz,,
83203.2,,,seconds,0.156,0.008,0.008,mjy,Spectral,SpectralFlux,3.94E+14,,,hz,,
83376,,,seconds,0.147,0.008,0.008,mjy,Spectral,SpectralFlux,3.94E+14,,,hz,,
83462.4,,,seconds,0.157,0.008,0.008,mjy,Spectral,SpectralFlux,3.94E+14,,,hz,,
83635.2,,,seconds,0.147,0.009,0.009,mjy,Spectral,SpectralFlux,3.94E+14,,,hz,,
83721.6,,,seconds,0.154,0.01,0.01,mjy,Spectral,SpectralFlux,3.94E+14,,,hz,,
101779.2,,,seconds,0.107,0.008,0.008,mjy,Spectral,SpectralFlux,3.94E+14,,,hz,,
171849.6,,,seconds,0.036,0.006,0.006,mjy,Spectral,SpectralFlux,3.94E+14,,,hz,,
257990.4,,,seconds,0.021,0.002,0.002,mjy,Spectral,SpectralFlux,3.94E+14,,,hz,,
306115.2,,,seconds,0.015,0.001,0,mjy,Spectral,SpectralFlux,3.94E+14,,,hz,,
473212.8,,,seconds,0.007,0.001,0.001,mjy,Spectral,SpectralFlux,3.94E+14,,,hz,,
565315.2,,,seconds,0.005,0.001,0.001,mjy,Spectral,SpectralFlux,3.94E+14,,,hz,,
4492.8,,,seconds,3.373,0.062,0.062,mjy,Spectral,SpectralFlux,4.81E+14,,,hz,,
4492.8,,,seconds,3.373,0.062,0.062,mjy,Spectral,SpectralFlux,4.81E+14,,,hz,,
4924.8,,,seconds,3.076,0.084,0.084,mjy,Spectral,SpectralFlux,4.81E+14,,,hz,,
5011.2,,,seconds,3.076,0.056,0.056,mjy,Spectral,SpectralFlux,4.81E+14,,,hz,,
5616,,,seconds,2.63,0.048,0.048,mjy,Spectral,SpectralFlux,4.81E+14,,,hz,,
5616,,,seconds,2.63,0.048,0.048,mjy,Spectral,SpectralFlux,4.81E+14,,,hz,,
6307.2,,,seconds,2.291,0.062,0.062,mjy,Spectral,SpectralFlux,4.81E+14,,,hz,,
6393.6,,,seconds,2.249,0.041,0.041,mjy,Spectral,SpectralFlux,4.81E+14,,,hz,,
7689.6,,,seconds,1.82,0.05,0.05,mjy,Spectral,SpectralFlux,4.81E+14,,,hz,,
7689.6,,,seconds,1.82,0.05,0.05,mjy,Spectral,SpectralFlux,4.81E+14,,,hz,,
7776,,,seconds,1.787,0.049,0.049,mjy,Spectral,SpectralFlux,4.81E+14,,,hz,,
7776,,,seconds,1.787,0.049,0.049,mjy,Spectral,SpectralFlux,4.81E+14,,,hz,,
8035.2,,,seconds,1.691,0.031,0.031,mjy,Spectral,SpectralFlux,4.81E+14,,,hz,,
8121.6,,,seconds,1.675,0.031,0.031,mjy,Spectral,SpectralFlux,4.81E+14,,,hz,,
8294.4,,,seconds,1.644,0.03,0.03,mjy,Spectral,SpectralFlux,4.81E+14,,,hz,,
8380.8,,,seconds,1.629,0.03,0.03,mjy,Spectral,SpectralFlux,4.81E+14,,,hz,,
8380.8,,,seconds,1.6,0.029,0.029,mjy,Spectral,SpectralFlux,4.81E+14,,,hz,,
8467.2,,,seconds,1.585,0.029,0.029,mjy,Spectral,SpectralFlux,4.81E+14,,,hz,,
8726.4,,,seconds,1.528,0.028,0.028,mjy,Spectral,SpectralFlux,4.81E+14,,,hz,,
8726.4,,,seconds,1.486,0.027,0.027,mjy,Spectral,SpectralFlux,4.81E+14,,,hz,,
9244.8,,,seconds,1.393,0.025,0.025,mjy,Spectral,SpectralFlux,4.81E+14,,,hz,,
9331.2,,,seconds,1.368,0.025,0.025,mjy,Spectral,SpectralFlux,4.81E+14,,,hz,,
9417.6,,,seconds,1.355,0.025,0.025,mjy,Spectral,SpectralFlux,4.81E+14,,,hz,,
9504,,,seconds,1.343,0.025,0.025,mjy,Spectral,SpectralFlux,4.81E+14,,,hz,,
10108.8,,,seconds,1.213,0.033,0.033,mjy,Spectral,SpectralFlux,4.81E+14,,,hz,,
10195.2,,,seconds,1.247,0.034,0.034,mjy,Spectral,SpectralFlux,4.81E+14,,,hz,,
10195.2,,,seconds,1.191,0.032,0.032,mjy,Spectral,SpectralFlux,4.81E+14,,,hz,,
10281.6,,,seconds,1.225,0.033,0.033,mjy,Spectral,SpectralFlux,4.81E+14,,,hz,,
10713.6,,,seconds,1.148,0.021,0.021,mjy,Spectral,SpectralFlux,4.81E+14,,,hz,,
10713.6,,,seconds,1.17,0.021,0.021,mjy,Spectral,SpectralFlux,4.81E+14,,,hz,,
10800,,,seconds,1.107,0.02,0.02,mjy,Spectral,SpectralFlux,4.81E+14,,,hz,,
10886.4,,,seconds,1.148,0.031,0.031,mjy,Spectral,SpectralFlux,4.81E+14,,,hz,,
10886.4,,,seconds,1.107,0.02,0.02,mjy,Spectral,SpectralFlux,4.81E+14,,,hz,,
10886.4,,,seconds,1.086,0.03,0.03,mjy,Spectral,SpectralFlux,4.81E+14,,,hz,,
10972.8,,,seconds,1.097,0.03,0.03,mjy,Spectral,SpectralFlux,4.81E+14,,,hz,,
10972.8,,,seconds,1.097,0.04,0.04,mjy,Spectral,SpectralFlux,4.81E+14,,,hz,,
11491.2,,,seconds,1.038,0.028,0.028,mjy,Spectral,SpectralFlux,4.81E+14,,,hz,,
11577.6,,,seconds,1.028,0.028,0.028,mjy,Spectral,SpectralFlux,4.81E+14,,,hz,,
11577.6,,,seconds,1.019,0.019,0.019,mjy,Spectral,SpectralFlux,4.81E+14,,,hz,,
11664,,,seconds,1.009,0.018,0.018,mjy,Spectral,SpectralFlux,4.81E+14,,,hz,,
11664,,,seconds,1,0.018,0.018,mjy,Spectral,SpectralFlux,4.81E+14,,,hz,,
11750.4,,,seconds,1.009,0.018,0.018,mjy,Spectral,SpectralFlux,4.81E+14,,,hz,,
12441.6,,,seconds,0.921,0.017,0.017,mjy,Spectral,SpectralFlux,4.81E+14,,,hz,,
12614.4,,,seconds,0.912,0.025,0.025,mjy,Spectral,SpectralFlux,4.81E+14,,,hz,,
14688,,,seconds,0.738,0.013,0.013,mjy,Spectral,SpectralFlux,4.81E+14,,,hz,,
14774.4,,,seconds,0.738,0.013,0.013,mjy,Spectral,SpectralFlux,4.81E+14,,,hz,,
14947.2,,,seconds,0.731,0.013,0.013,mjy,Spectral,SpectralFlux,4.81E+14,,,hz,,
15033.6,,,seconds,0.718,0.013,0.013,mjy,Spectral,SpectralFlux,4.81E+14,,,hz,,
15206.4,,,seconds,0.705,0.013,0.013,mjy,Spectral,SpectralFlux,4.81E+14,,,hz,,
16156.8,,,seconds,0.667,0.024,0.024,mjy,Spectral,SpectralFlux,4.81E+14,,,hz,,
16156.8,,,seconds,0.679,0.031,0.031,mjy,Spectral,SpectralFlux,4.81E+14,,,hz,,
16502.4,,,seconds,0.643,0.018,0.018,mjy,Spectral,SpectralFlux,4.81E+14,,,hz,,
16588.8,,,seconds,0.649,0.018,0.018,mjy,Spectral,SpectralFlux,4.81E+14,,,hz,,
17193.6,,,seconds,0.643,0.018,0.018,mjy,Spectral,SpectralFlux,4.81E+14,,,hz,,
17193.6,,,seconds,0.619,0.017,0.017,mjy,Spectral,SpectralFlux,4.81E+14,,,hz,,
17798.4,,,seconds,0.603,0.011,0.011,mjy,Spectral,SpectralFlux,4.81E+14,,,hz,,
17971.2,,,seconds,0.597,0.011,0.011,mjy,Spectral,SpectralFlux,4.81E+14,,,hz,,
18576,,,seconds,0.597,0.032,0.032,mjy,Spectral,SpectralFlux,4.81E+14,,,hz,,
18662.4,,,seconds,0.586,0.026,0.026,mjy,Spectral,SpectralFlux,4.81E+14,,,hz,,
18662.4,,,seconds,0.586,0.026,0.026,mjy,Spectral,SpectralFlux,4.81E+14,,,hz,,
18748.8,,,seconds,0.586,0.026,0.026,mjy,Spectral,SpectralFlux,4.81E+14,,,hz,,
19180.8,,,seconds,0.57,0.021,0.021,mjy,Spectral,SpectralFlux,4.81E+14,,,hz,,
19180.8,,,seconds,0.586,0.021,0.021,mjy,Spectral,SpectralFlux,4.81E+14,,,hz,,
19267.2,,,seconds,0.555,0.025,0.025,mjy,Spectral,SpectralFlux,4.81E+14,,,hz,,
19353.6,,,seconds,0.555,0.02,0.02,mjy,Spectral,SpectralFlux,4.81E+14,,,hz,,
20044.8,,,seconds,0.555,0.015,0.015,mjy,Spectral,SpectralFlux,4.81E+14,,,hz,,
20217.6,,,seconds,0.545,0.015,0.015,mjy,Spectral,SpectralFlux,4.81E+14,,,hz,,
82512,,,seconds,0.115,0.005,0.005,mjy,Spectral,SpectralFlux,4.81E+14,,,hz,,
