Time,TimeLower,TimeUpper,TimeUnits,Value,ValueLower,ValueUpper,ValueUnits,ValueType,Wave,WaveLower,WaveUpper,WaveUnits,Filter,CalGroup,SlopGroup
8035.2,,,s,1.191,0.054,0.054,mJy,Spectral Flux,6.47E+14,,,Hz,g,g_offset,slop
8121.6,,,s,1.18,0.053,0.053,mJy,Spectral Flux,6.47E+14,,,Hz,g,g_offset,slop
8121.6,,,s,1.17,0.053,0.053,mJy,Spectral Flux,6.47E+14,,,Hz,g,g_offset,slop
8208,,,s,1.138,0.051,0.051,mJy,Spectral Flux,6.47E+14,,,Hz,g,g_offset,slop
8899.2,,,s,1.057,0.029,0.029,mJy,Spectral Flux,6.47E+14,,,Hz,g,g_offset,slop
8985.6,,,s,1.047,0.029,0.029,mJy,Spectral Flux,6.47E+14,,,Hz,g,g_offset,slop
9072,,,s,1.028,0.028,0.028,mJy,Spectral Flux,6.47E+14,,,Hz,g,g_offset,slop
9158.4,,,s,0.991,0.036,0.036,mJy,Spectral Flux,6.47E+14,,,Hz,g,g_offset,slop
10454.4,,,s,0.855,0.031,0.031,mJy,Spectral Flux,6.47E+14,,,Hz,g,g_offset,slop
10540.8,,,s,0.84,0.03,0.03,mJy,Spectral Flux,6.47E+14,,,Hz,g,g_offset,slop
10540.8,,,s,0.863,0.031,0.031,mJy,Spectral Flux,6.47E+14,,,Hz,g,g_offset,slop
10627.2,,,s,0.832,0.023,0.023,mJy,Spectral Flux,6.47E+14,,,Hz,g,g_offset,slop
11232,,,s,0.752,0.034,0.034,mJy,Spectral Flux,6.47E+14,,,Hz,g,g_offset,slop
11318.4,,,s,0.759,0.021,0.021,mJy,Spectral Flux,6.47E+14,,,Hz,g,g_offset,slop
11318.4,,,s,0.752,0.034,0.034,mJy,Spectral Flux,6.47E+14,,,Hz,g,g_offset,slop
11318.4,,,s,0.766,0.021,0.021,mJy,Spectral Flux,6.47E+14,,,Hz,g,g_offset,slop
11318.4,,,s,0.752,0.027,0.027,mJy,Spectral Flux,6.47E+14,,,Hz,g,g_offset,slop
11404.8,,,s,0.731,0.026,0.026,mJy,Spectral Flux,6.47E+14,,,Hz,g,g_offset,slop
11404.8,,,s,0.752,0.02,0.02,mJy,Spectral Flux,6.47E+14,,,Hz,g,g_offset,slop
11491.2,,,s,0.759,0.021,0.021,mJy,Spectral Flux,6.47E+14,,,Hz,g,g_offset,slop
12096,,,s,0.673,0.036,0.036,mJy,Spectral Flux,6.47E+14,,,Hz,g,g_offset,slop
12182.4,,,s,0.686,0.019,0.019,mJy,Spectral Flux,6.47E+14,,,Hz,g,g_offset,slop
12182.4,,,s,0.686,0.025,0.025,mJy,Spectral Flux,6.47E+14,,,Hz,g,g_offset,slop
12268.8,,,s,0.667,0.018,0.018,mJy,Spectral Flux,6.47E+14,,,Hz,g,g_offset,slop
12268.8,,,s,0.673,0.018,0.018,mJy,Spectral Flux,6.47E+14,,,Hz,g,g_offset,slop
12355.2,,,s,0.679,0.019,0.019,mJy,Spectral Flux,6.47E+14,,,Hz,g,g_offset,slop
13046.4,,,s,0.619,0.017,0.017,mJy,Spectral Flux,6.47E+14,,,Hz,g,g_offset,slop
13219.2,,,s,0.619,0.017,0.017,mJy,Spectral Flux,6.47E+14,,,Hz,g,g_offset,slop
18921.6,,,s,0.429,0.027,0.027,mJy,Spectral Flux,6.47E+14,,,Hz,g,g_offset,slop
19008,,,s,0.387,0.024,0.024,mJy,Spectral Flux,6.47E+14,,,Hz,g,g_offset,slop
19094.4,,,s,0.421,0.03,0.03,mJy,Spectral Flux,6.47E+14,,,Hz,g,g_offset,slop
19785.6,,,s,0.402,0.029,0.029,mJy,Spectral Flux,6.47E+14,,,Hz,g,g_offset,slop
19785.6,,,s,0.398,0.021,0.021,mJy,Spectral Flux,6.47E+14,,,Hz,g,g_offset,slop
19872,,,s,0.387,0.017,0.017,mJy,Spectral Flux,6.47E+14,,,Hz,g,g_offset,slop
19958.4,,,s,0.384,0.021,0.021,mJy,Spectral Flux,6.47E+14,,,Hz,g,g_offset,slop
20649.6,,,s,0.377,0.017,0.017,mJy,Spectral Flux,6.47E+14,,,Hz,g,g_offset,slop
20822.4,,,s,0.384,0.014,0.014,mJy,Spectral Flux,6.47E+14,,,Hz,g,g_offset,slop
84585.6,,,s,0.084,0.006,0.006,mJy,Spectral Flux,6.47E+14,,,Hz,g,g_offset,slop
84672,,,s,0.081,0.006,0.006,mJy,Spectral Flux,6.47E+14,,,Hz,g,g_offset,slop
98755.2,,,s,0.069,0.004,0.004,mJy,Spectral Flux,6.47E+14,,,Hz,g,g_offset,slop
4579.2,,,s,4.169,0.188,0.188,mJy,Spectral Flux,4.03E+14,,,Hz,i,i_offset,slop
4579.2,,,s,4.169,0.151,0.151,mJy,Spectral Flux,4.03E+14,,,Hz,i,i_offset,slop
5097.6,,,s,3.802,0.171,0.171,mJy,Spectral Flux,4.03E+14,,,Hz,i,i_offset,slop
5184,,,s,3.733,0.168,0.168,mJy,Spectral Flux,4.03E+14,,,Hz,i,i_offset,slop
5702.4,,,s,3.192,0.144,0.144,mJy,Spectral Flux,4.03E+14,,,Hz,i,i_offset,slop
5788.8,,,s,3.133,0.141,0.141,mJy,Spectral Flux,4.03E+14,,,Hz,i,i_offset,slop
6566.4,,,s,2.78,0.125,0.125,mJy,Spectral Flux,4.03E+14,,,Hz,i,i_offset,slop
6652.8,,,s,2.729,0.123,0.123,mJy,Spectral Flux,4.03E+14,,,Hz,i,i_offset,slop
7776,,,s,2.188,0.118,0.118,mJy,Spectral Flux,4.03E+14,,,Hz,i,i_offset,slop
7862.4,,,s,2.27,0.122,0.122,mJy,Spectral Flux,4.03E+14,,,Hz,i,i_offset,slop
7862.4,,,s,2.229,0.1,0.1,mJy,Spectral Flux,4.03E+14,,,Hz,i,i_offset,slop
7948.8,,,s,2.188,0.118,0.118,mJy,Spectral Flux,4.03E+14,,,Hz,i,i_offset,slop
8035.2,,,s,2.188,0.137,0.137,mJy,Spectral Flux,4.03E+14,,,Hz,i,i_offset,slop
8208,,,s,2.032,0.074,0.074,mJy,Spectral Flux,4.03E+14,,,Hz,i,i_offset,slop
8294.4,,,s,2.051,0.092,0.092,mJy,Spectral Flux,4.03E+14,,,Hz,i,i_offset,slop
8553.6,,,s,1.977,0.106,0.106,mJy,Spectral Flux,4.03E+14,,,Hz,i,i_offset,slop
8640,,,s,1.959,0.105,0.105,mJy,Spectral Flux,4.03E+14,,,Hz,i,i_offset,slop
8726.4,,,s,1.941,0.104,0.104,mJy,Spectral Flux,4.03E+14,,,Hz,i,i_offset,slop
8812.8,,,s,1.923,0.103,0.103,mJy,Spectral Flux,4.03E+14,,,Hz,i,i_offset,slop
8812.8,,,s,1.837,0.066,0.066,mJy,Spectral Flux,4.03E+14,,,Hz,i,i_offset,slop
8899.2,,,s,1.82,0.066,0.066,mJy,Spectral Flux,4.03E+14,,,Hz,i,i_offset,slop
9590.4,,,s,1.629,0.073,0.073,mJy,Spectral Flux,4.03E+14,,,Hz,i,i_offset,slop
9763.2,,,s,1.6,0.058,0.058,mJy,Spectral Flux,4.03E+14,,,Hz,i,i_offset,slop
10281.6,,,s,1.472,0.066,0.066,mJy,Spectral Flux,4.03E+14,,,Hz,i,i_offset,slop
10368,,,s,1.472,0.079,0.079,mJy,Spectral Flux,4.03E+14,,,Hz,i,i_offset,slop
10454.4,,,s,1.5,0.094,0.094,mJy,Spectral Flux,4.03E+14,,,Hz,i,i_offset,slop
10972.8,,,s,1.38,0.062,0.062,mJy,Spectral Flux,4.03E+14,,,Hz,i,i_offset,slop
11059.2,,,s,1.343,0.072,0.072,mJy,Spectral Flux,4.03E+14,,,Hz,i,i_offset,slop
11059.2,,,s,1.38,0.074,0.074,mJy,Spectral Flux,4.03E+14,,,Hz,i,i_offset,slop
11145.6,,,s,1.393,0.087,0.087,mJy,Spectral Flux,4.03E+14,,,Hz,i,i_offset,slop
11145.6,,,s,1.368,0.074,0.074,mJy,Spectral Flux,4.03E+14,,,Hz,i,i_offset,slop
11145.6,,,s,1.393,0.087,0.087,mJy,Spectral Flux,4.03E+14,,,Hz,i,i_offset,slop
11232,,,s,1.331,0.06,0.06,mJy,Spectral Flux,4.03E+14,,,Hz,i,i_offset,slop
11232,,,s,1.343,0.084,0.084,mJy,Spectral Flux,4.03E+14,,,Hz,i,i_offset,slop
11836.8,,,s,1.282,0.069,0.069,mJy,Spectral Flux,4.03E+14,,,Hz,i,i_offset,slop
11836.8,,,s,1.259,0.079,0.079,mJy,Spectral Flux,4.03E+14,,,Hz,i,i_offset,slop
11923.2,,,s,1.271,0.068,0.068,mJy,Spectral Flux,4.03E+14,,,Hz,i,i_offset,slop
11923.2,,,s,1.191,0.043,0.043,mJy,Spectral Flux,4.03E+14,,,Hz,i,i_offset,slop
12009.6,,,s,1.247,0.067,0.067,mJy,Spectral Flux,4.03E+14,,,Hz,i,i_offset,slop
12009.6,,,s,1.191,0.043,0.043,mJy,Spectral Flux,4.03E+14,,,Hz,i,i_offset,slop
12787.2,,,s,1.138,0.061,0.061,mJy,Spectral Flux,4.03E+14,,,Hz,i,i_offset,slop
12873.6,,,s,1.127,0.061,0.061,mJy,Spectral Flux,4.03E+14,,,Hz,i,i_offset,slop
15379.2,,,s,0.84,0.03,0.03,mJy,Spectral Flux,4.03E+14,,,Hz,i,i_offset,slop
15465.6,,,s,0.871,0.032,0.032,mJy,Spectral Flux,4.03E+14,,,Hz,i,i_offset,slop
15638.4,,,s,0.855,0.031,0.031,mJy,Spectral Flux,4.03E+14,,,Hz,i,i_offset,slop
15724.8,,,s,0.817,0.03,0.03,mJy,Spectral Flux,4.03E+14,,,Hz,i,i_offset,slop
15897.6,,,s,0.84,0.03,0.03,mJy,Spectral Flux,4.03E+14,,,Hz,i,i_offset,slop
16243.2,,,s,0.855,0.068,0.068,mJy,Spectral Flux,4.03E+14,,,Hz,i,i_offset,slop
16243.2,,,s,0.817,0.065,0.065,mJy,Spectral Flux,4.03E+14,,,Hz,i,i_offset,slop
16675.2,,,s,0.78,0.049,0.049,mJy,Spectral Flux,4.03E+14,,,Hz,i,i_offset,slop
16761.6,,,s,0.752,0.04,0.04,mJy,Spectral Flux,4.03E+14,,,Hz,i,i_offset,slop
17280,,,s,0.766,0.048,0.048,mJy,Spectral Flux,4.03E+14,,,Hz,i,i_offset,slop
17366.4,,,s,0.752,0.053,0.053,mJy,Spectral Flux,4.03E+14,,,Hz,i,i_offset,slop
18057.6,,,s,0.718,0.039,0.039,mJy,Spectral Flux,4.03E+14,,,Hz,i,i_offset,slop
18230.4,,,s,0.738,0.04,0.04,mJy,Spectral Flux,4.03E+14,,,Hz,i,i_offset,slop
18748.8,,,s,0.738,0.052,0.052,mJy,Spectral Flux,4.03E+14,,,Hz,i,i_offset,slop
18835.2,,,s,0.724,0.064,0.064,mJy,Spectral Flux,4.03E+14,,,Hz,i,i_offset,slop
18921.6,,,s,0.698,0.056,0.056,mJy,Spectral Flux,4.03E+14,,,Hz,i,i_offset,slop
19440,,,s,0.731,0.052,0.052,mJy,Spectral Flux,4.03E+14,,,Hz,i,i_offset,slop
19526.4,,,s,0.711,0.051,0.051,mJy,Spectral Flux,4.03E+14,,,Hz,i,i_offset,slop
19612.8,,,s,0.718,0.057,0.057,mJy,Spectral Flux,4.03E+14,,,Hz,i,i_offset,slop
19699.2,,,s,0.686,0.055,0.055,mJy,Spectral Flux,4.03E+14,,,Hz,i,i_offset,slop
20390.4,,,s,0.655,0.035,0.035,mJy,Spectral Flux,4.03E+14,,,Hz,i,i_offset,slop
20476.8,,,s,0.643,0.035,0.035,mJy,Spectral Flux,4.03E+14,,,Hz,i,i_offset,slop
83203.2,,,s,0.156,0.008,0.008,mJy,Spectral Flux,4.03E+14,,,Hz,i,i_offset,slop
83376,,,s,0.147,0.008,0.008,mJy,Spectral Flux,4.03E+14,,,Hz,i,i_offset,slop
83462.4,,,s,0.157,0.008,0.008,mJy,Spectral Flux,4.03E+14,,,Hz,i,i_offset,slop
83635.2,,,s,0.147,0.009,0.009,mJy,Spectral Flux,4.03E+14,,,Hz,i,i_offset,slop
83721.6,,,s,0.154,0.01,0.01,mJy,Spectral Flux,4.03E+14,,,Hz,i,i_offset,slop
101779.2,,,s,0.107,0.008,0.008,mJy,Spectral Flux,4.03E+14,,,Hz,i,i_offset,slop
171849.6,,,s,0.036,0.006,0.006,mJy,Spectral Flux,4.03E+14,,,Hz,i,i_offset,slop
257990.4,,,s,0.021,0.002,0.002,mJy,Spectral Flux,4.03E+14,,,Hz,i,i_offset,slop
306115.2,,,s,0.015,0.001,0.001,mJy,Spectral Flux,4.03E+14,,,Hz,i,i_offset,slop
473212.8,,,s,0.007,0.001,0.001,mJy,Spectral Flux,4.03E+14,,,Hz,i,i_offset,slop
565315.2,,,s,0.005,0.001,0.001,mJy,Spectral Flux,4.03E+14,,,Hz,i,i_offset,slop
4492.8,,,s,3.373,0.062,0.062,mJy,Spectral Flux,4.90E+14,,,Hz,r,r_offset,slop
4492.8,,,s,3.373,0.062,0.062,mJy,Spectral Flux,4.90E+14,,,Hz,r,r_offset,slop
4924.8,,,s,3.076,0.084,0.084,mJy,Spectral Flux,4.90E+14,,,Hz,r,r_offset,slop
5011.2,,,s,3.076,0.056,0.056,mJy,Spectral Flux,4.90E+14,,,Hz,r,r_offset,slop
5616,,,s,2.63,0.048,0.048,mJy,Spectral Flux,4.90E+14,,,Hz,r,r_offset,slop
5616,,,s,2.63,0.048,0.048,mJy,Spectral Flux,4.90E+14,,,Hz,r,r_offset,slop
6307.2,,,s,2.291,0.062,0.062,mJy,Spectral Flux,4.90E+14,,,Hz,r,r_offset,slop
6393.6,,,s,2.249,0.041,0.041,mJy,Spectral Flux,4.90E+14,,,Hz,r,r_offset,slop
7689.6,,,s,1.82,0.05,0.05,mJy,Spectral Flux,4.90E+14,,,Hz,r,r_offset,slop
7689.6,,,s,1.82,0.05,0.05,mJy,Spectral Flux,4.90E+14,,,Hz,r,r_offset,slop
7776,,,s,1.787,0.049,0.049,mJy,Spectral Flux,4.90E+14,,,Hz,r,r_offset,slop
7776,,,s,1.787,0.049,0.049,mJy,Spectral Flux,4.90E+14,,,Hz,r,r_offset,slop
8035.2,,,s,1.691,0.031,0.031,mJy,Spectral Flux,4.90E+14,,,Hz,r,r_offset,slop
8121.6,,,s,1.675,0.031,0.031,mJy,Spectral Flux,4.90E+14,,,Hz,r,r_offset,slop
8294.4,,,s,1.644,0.03,0.03,mJy,Spectral Flux,4.90E+14,,,Hz,r,r_offset,slop
8380.8,,,s,1.629,0.03,0.03,mJy,Spectral Flux,4.90E+14,,,Hz,r,r_offset,slop
8380.8,,,s,1.6,0.029,0.029,mJy,Spectral Flux,4.90E+14,,,Hz,r,r_offset,slop
8467.2,,,s,1.585,0.029,0.029,mJy,Spectral Flux,4.90E+14,,,Hz,r,r_offset,slop
8726.4,,,s,1.528,0.028,0.028,mJy,Spectral Flux,4.90E+14,,,Hz,r,r_offset,slop
8726.4,,,s,1.486,0.027,0.027,mJy,Spectral Flux,4.90E+14,,,Hz,r,r_offset,slop
9244.8,,,s,1.393,0.025,0.025,mJy,Spectral Flux,4.90E+14,,,Hz,r,r_offset,slop
9331.2,,,s,1.368,0.025,0.025,mJy,Spectral Flux,4.90E+14,,,Hz,r,r_offset,slop
