Time,TimeLower,TimeUpper,TimeUnits,Value,ValueLower,ValueUpper,ValueUnits,ValueType,Model,Frequency,FrequencyLower,FrequencyUpper,FrequencyUnits
796436,,,seconds,4.45E-07,1.92E-07,1.92E-07,mjy,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz
1330009.875,,,seconds,5.15E-07,1.66E-07,1.66E-07,mjy,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz
1377615,,,seconds,5.28E-07,1.70E-07,1.70E-07,mjy,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz
9450950,,,seconds,2.17E-06,2.37E-07,2.37E-07,mjy,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz
13806720,,,seconds,2.31E-06,2.60E-07,2.60E-07,mjy,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz
22463100,,,seconds,1.22E-06,2.00E-07,2.00E-07,mjy,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz
30885700,,,seconds,6.80E-07,1.81E-07,1.81E-07,mjy,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz
