Times,TimeBnds,Fluxes,FluxErrs,Freqs,FluxType,FluxUnits
87.4724,0.3855,9.93465022e-09,1.229926731e-09,1,Integrated,cgs
88.1653,0.3062,1.223100934e-08,1.497528417e-09,1,Integrated,cgs
88.824,0.3316,1.182916603e-08,1.458565086e-09,1,Integrated,cgs
89.4665,0.3158,1.290933589e-08,1.598844148e-09,1,Integrated,cgs
90.101,0.3561,1.225120468e-08,1.559499865e-09,1,Integrated,cgs
90.6629,0.3042,1.273093558e-08,1.622169318e-09,1,Integrated,cgs
91.1789,0.2295,1.728778898e-08,2.003668326e-09,1,Integrated,cgs
91.822,0.362,1.128722111e-08,1.403476822e-09,1,Integrated,cgs
92.4409,0.3013,1.373575346e-08,1.680289732e-09,1,Integrated,cgs
92.955,0.2514,1.452107217e-08,1.821359188e-09,1,Integrated,cgs
93.5306,0.304,1.285206285e-08,1.610107466e-09,1,Integrated,cgs
94.2121,0.3824,9.69401554e-09,1.232676423e-09,1,Integrated,cgs
94.9514,0.346,1.064637112e-08,1.337251817e-09,1,Integrated,cgs
157.112,0.465,8.98085386e-09,1.154350901e-09,1,Integrated,cgs
158.1052,0.3851,1.35951024e-08,1.68270487e-09,1,Integrated,cgs
158.7662,0.3166,1.540324874e-08,1.95427562e-09,1,Integrated,cgs
159.4355,0.3543,1.205465217e-08,1.510810862e-09,1,Integrated,cgs
160.3104,0.4144,1.130553611e-08,1.45218414e-09,1,Integrated,cgs
161.1767,0.4285,1.221485551e-08,1.530009459e-09,1,Integrated,cgs
162.0051,0.4527,1.036341658e-08,1.299218074e-09,1,Integrated,cgs
162.882,0.3884,1.260012171e-08,1.540678964e-09,1,Integrated,cgs
163.6658,0.3841,1.319653137e-08,1.632454208e-09,1,Integrated,cgs
164.4804,0.4533,1.10307989e-08,1.417444248e-09,1,Integrated,cgs
165.3356,0.442,1.092737206e-08,1.353135399e-09,1,Integrated,cgs
166.1641,0.3703,1.258066711e-08,1.61653074e-09,1,Integrated,cgs
166.8924,0.3389,1.41157368e-08,1.768709261e-09,1,Integrated,cgs
167.6404,0.3966,1.304047943e-08,1.633798529e-09,1,Integrated,cgs
168.3975,0.4064,1.171477868e-08,1.45009216e-09,1,Integrated,cgs
169.269,0.4382,1.106442931e-08,1.386329912e-09,1,Integrated,cgs
170.228,0.516,8.91381282e-09,1.135766467e-09,1,Integrated,cgs
171.342,0.541,9.8036939e-09,1.213175832e-09,1,Integrated,cgs
172.2029,0.3992,1.242486344e-08,1.537832813e-09,1,Integrated,cgs
172.993,0.3975,1.303758566e-08,1.614127812e-09,1,Integrated,cgs
173.7108,0.361,1.180062312e-08,1.479490991e-09,1,Integrated,cgs
174.5375,0.3622,1.428405572e-08,1.767298599e-09,1,Integrated,cgs
175.2274,0.3635,1.325642549e-08,1.641409429e-09,1,Integrated,cgs
176.0755,0.4698,1.172483158e-08,1.470136096e-09,1,Integrated,cgs
176.8231,0.3865,1.136379002e-08,1.425023402e-09,1,Integrated,cgs
177.5614,0.2922,1.320056881e-08,1.656170912e-09,1,Integrated,cgs
178.1818,0.3308,1.317095549e-08,1.631227917e-09,1,Integrated,cgs
178.8548,0.4149,1.053038833e-08,1.304155798e-09,1,Integrated,cgs
179.6284,0.452,8.86093945e-09,1.098114083e-09,1,Integrated,cgs
180.3877,0.3359,1.191144108e-08,1.475350987e-09,1,Integrated,cgs
181.0408,0.3379,1.092626909e-08,1.353166331e-09,1,Integrated,cgs
181.7795,0.3666,1.006221623e-08,1.263827796e-09,1,Integrated,cgs
