Time,TimeLower,TimeUpper,TimeUnits,Value,ValueLower,ValueUpper,ValueUnits,ValueType,Model,Frequency,FrequencyLower,FrequencyUpper,FrequencyUnits,,
644.4,,,seconds,0.655577251,0.114723703,0.114723703,mjy,Spectral,SpectralFlux,5.44E+14,,,hz,,
818.4,,,seconds,0.49274687,0.108920793,0.108920793,mjy,Spectral,SpectralFlux,5.44E+14,,,hz,,
1048.8,,,seconds,0.322569926,0.092100343,0.092100343,mjy,Spectral,SpectralFlux,5.44E+14,,,hz,,
1221,,,seconds,0.240228138,0.086290734,0.086290734,mjy,Spectral,SpectralFlux,5.44E+14,,,hz,,
1392.6,,,seconds,0.258597234,0.088125436,0.088125436,mjy,Spectral,SpectralFlux,5.44E+14,,,hz,,
1566.6,,,seconds,0.283546228,0.091404505,0.091404505,mjy,Spectral,SpectralFlux,5.44E+14,,,hz,,
1740,,,seconds,0.117118061,0.077666199,0.077666199,mjy,Spectral,SpectralFlux,5.44E+14,,,hz,,
1913.4,,,seconds,0.328566949,0.09683883,0.09683883,mjy,Spectral,SpectralFlux,5.44E+14,,,hz,,
2085.6,,,seconds,0.169287104,0.082637168,0.082637168,mjy,Spectral,SpectralFlux,5.44E+14,,,hz,,
2259.6,,,seconds,0.344051832,0.095065034,0.095065034,mjy,Spectral,SpectralFlux,5.44E+14,,,hz,,
12042.6,,,seconds,0.056056228,0.018070393,0.018070393,mjy,Spectral,SpectralFlux,5.44E+14,,,hz,,
91.1323,,,seconds,9.62E-09,1.31E-09,1.31E-09,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
91.7687,,,seconds,8.26E-09,1.12E-09,1.12E-09,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
92.5679,,,seconds,9.15E-09,1.29E-09,1.29E-09,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
93.2539,,,seconds,8.28E-09,1.16E-09,1.16E-09,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
94.0568,,,seconds,7.15E-09,1.04E-09,1.04E-09,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
94.9207,,,seconds,7.31E-09,1.05E-09,1.05E-09,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
95.6821,,,seconds,9.60E-09,1.39E-09,1.39E-09,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
96.4738,,,seconds,6.24E-09,9.43E-10,9.43E-10,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
