Time,TimeUnits,Value,ValueLower,ValueUpper,ValueUnits,ValueType,Wave,WaveLower,WaveUpper,WaveUnits,Filter,CalGroup,SlopGroup,Include
5069.088,s,0.059703529,0.007222783,0.007222783,mJy,Spectral Flux,3.81E+14,,,Hz,Ic,Ic_offset,slop,1
9278.496,s,0.02630268,0.003182032,0.003182032,mJy,Spectral Flux,3.81E+14,,,Hz,Ic,Ic_offset,slop,1
11680.416,s,0.024888573,0.003211532,0.003211532,mJy,Spectral Flux,3.81E+14,,,Hz,Ic,Ic_offset,slop,1
2290.464,s,0.016443717,0.005679065,0.005679065,mJy,Spectral Flux,3.94E+14,,,Hz,i,i_offset,slop,1
17031.168,s,0.002805434,7.65E-05,7.65E-05,mJy,Spectral Flux,3.94E+14,,,Hz,i,i_offset,slop,1
2648.16,s,0.185353162,0.053527488,0.053527488,mJy,Spectral Flux,3.29E+14,,,Hz,z,z_offset,slop,1
9615.456,s,0.05597576,0.001021673,0.001021673,mJy,Spectral Flux,3.29E+14,,,Hz,z,z_offset,slop,1
85325.184,s,0.008241381,0.000862339,0.000862339,mJy,Spectral Flux,3.29E+14,,,Hz,z,z_offset,slop,1
181215.36,s,0.004207266,0.000642755,0.000642755,mJy,Spectral Flux,3.29E+14,,,Hz,z,z_offset,slop,1
1286.496,s,0.515228645,0.066483255,0.066483255,mJy,Spectral Flux,2.43E+14,,,Hz,J,J_offset,slop,1
2075.328,s,0.356451133,0.048841452,0.048841452,mJy,Spectral Flux,2.43E+14,,,Hz,J,J_offset,slop,1
2864.16,s,0.380189396,0.061035611,0.061035611,mJy,Spectral Flux,2.43E+14,,,Hz,J,J_offset,slop,1
4027.968,s,0.272897778,0.03521375,0.03521375,mJy,Spectral Flux,2.43E+14,,,Hz,J,J_offset,slop,1
9637.92,s,0.103752842,0.0190301,0.0190301,mJy,Spectral Flux,2.43E+14,,,Hz,J,J_offset,slop,1
85325.184,s,0.028575905,0.002753304,0.002753304,mJy,Spectral Flux,2.43E+14,,,Hz,J,J_offset,slop,1
181215.36,s,0.012705741,0.001329468,0.001329468,mJy,Spectral Flux,2.43E+14,,,Hz,J,J_offset,slop,1
