Time,TimeUnits,Value,ValueLower,ValueUpper,ValueUnits,ValueType,Wave,WaveLower,WaveUpper,WaveUnits,Filter,CalGroup,SlopGroup,Include
311040.0,s,0.02421029,0.00087571,0.00087571,mJy,Spectral Flux,481000000000000.0,,,Hz,r,r_offset,slop,1.0
311040.0,s,0.064863443,0.000594672,0.000594672,mJy,Spectral Flux,394000000000000.0,,,Hz,i,i_offset,slop,1.0
311040.0,s,0.123594743,0.001133123,0.001133123,mJy,Spectral Flux,329000000000000.0,,,Hz,z,z_offset,slop,1.0
820800.0,s,0.009120108,0.000647834,0.000647834,mJy,Spectral Flux,481000000000000.0,,,Hz,r,r_offset,slop,1.0
820800.0,s,0.018197009,0.000819,0.000819,mJy,Spectral Flux,394000000000000.0,,,Hz,i,i_offset,slop,1.0
820800.0,s,0.035974934,0.000980417,0.000980417,mJy,Spectral Flux,329000000000000.0,,,Hz,z,z_offset,slop,1.0
83335.392,s,0.158489319,0.026663645,0.026663645,mJy,Spectral Flux,481000000000000.0,,,Hz,r,r2_offset,slop,1.0
341930.592,s,0.019588447,0.001723571,0.001723571,mJy,Spectral Flux,481000000000000.0,,,Hz,r,r2_offset,slop,1.0
403620.192,s,0.014996848,0.000674969,0.000674969,mJy,Spectral Flux,481000000000000.0,,,Hz,r,r2_offset,slop,1.0
490365.792,s,0.014454398,0.001512439,0.001512439,mJy,Spectral Flux,481000000000000.0,,,Hz,r,r2_offset,slop,1.0
557844.192,s,0.011481536,0.000105263,0.000105263,mJy,Spectral Flux,481000000000000.0,,,Hz,r,r2_offset,slop,1.0
577456.992,s,0.01,0.000710336,0.000710336,mJy,Spectral Flux,481000000000000.0,,,Hz,r,r2_offset,slop,1.0
662560.992,s,0.009036495,0.000641895,0.000641895,mJy,Spectral Flux,481000000000000.0,,,Hz,r,r2_offset,slop,1.0
749911.392,s,0.006606934,0.000691318,0.000691318,mJy,Spectral Flux,481000000000000.0,,,Hz,r,r2_offset,slop,1.0
836829.792,s,0.00519996,0.000369372,0.000369372,mJy,Spectral Flux,481000000000000.0,,,Hz,r,r2_offset,slop,1.0
862058.592,s,0.005445027,0.000874145,0.000874145,mJy,Spectral Flux,481000000000000.0,,,Hz,r,r2_offset,slop,1.0
83335.392,s,0.444631267,0.064441871,0.064441871,mJy,Spectral Flux,394000000000000.0,,,Hz,i,i2_offset,slop,1.0
145543.392,s,0.187068214,0.001715052,0.001715052,mJy,Spectral Flux,394000000000000.0,,,Hz,i,i2_offset,slop,1.0
234448.992,s,0.088715601,0.001619242,0.001619242,mJy,Spectral Flux,394000000000000.0,,,Hz,i,i2_offset,slop,1.0
341930.592,s,0.056493697,0.002043432,0.002043432,mJy,Spectral Flux,394000000000000.0,,,Hz,i,i2_offset,slop,1.0
403620.192,s,0.037325016,0.000681258,0.000681258,mJy,Spectral Flux,394000000000000.0,,,Hz,i,i2_offset,slop,1.0
490365.792,s,0.034673685,0.002758306,0.002758306,mJy,Spectral Flux,394000000000000.0,,,Hz,i,i2_offset,slop,1.0
557844.192,s,0.028840315,0.00026441,0.00026441,mJy,Spectral Flux,394000000000000.0,,,Hz,i,i2_offset,slop,1.0
577456.992,s,0.023988329,0.001289681,0.001289681,mJy,Spectral Flux,394000000000000.0,,,Hz,i,i2_offset,slop,1.0
662560.992,s,0.019952623,0.00107271,0.00107271,mJy,Spectral Flux,394000000000000.0,,,Hz,i,i2_offset,slop,1.0
749911.392,s,0.014859356,0.001182068,0.001182068,mJy,Spectral Flux,394000000000000.0,,,Hz,i,i2_offset,slop,1.0
836829.792,s,0.014859356,0.000798881,0.000798881,mJy,Spectral Flux,394000000000000.0,,,Hz,i,i2_offset,slop,1.0
862058.592,s,0.017378008,0.001961004,0.001961004,mJy,Spectral Flux,394000000000000.0,,,Hz,i,i2_offset,slop,1.0
83335.392,s,0.731139083,0.094343563,0.094343563,mJy,Spectral Flux,329000000000000.0,,,Hz,z,z2_offset,slop,1.0
145543.392,s,0.35318317,0.006446319,0.006446319,mJy,Spectral Flux,329000000000000.0,,,Hz,z,z2_offset,slop,1.0
234448.992,s,0.158489319,0.002892756,0.002892756,mJy,Spectral Flux,329000000000000.0,,,Hz,z,z2_offset,slop,1.0
341930.592,s,0.106659612,0.005734324,0.005734324,mJy,Spectral Flux,329000000000000.0,,,Hz,z,z2_offset,slop,1.0
403620.192,s,0.069183097,0.001262734,0.001262734,mJy,Spectral Flux,329000000000000.0,,,Hz,z,z2_offset,slop,1.0
490365.792,s,0.05597576,0.003009416,0.003009416,mJy,Spectral Flux,329000000000000.0,,,Hz,z,z2_offset,slop,1.0
577456.992,s,0.043251383,0.002325317,0.002325317,mJy,Spectral Flux,329000000000000.0,,,Hz,z,z2_offset,slop,1.0
662560.992,s,0.034040819,0.001830131,0.001830131,mJy,Spectral Flux,329000000000000.0,,,Hz,z,z2_offset,slop,1.0
749911.392,s,0.025585859,0.001817456,0.001817456,mJy,Spectral Flux,329000000000000.0,,,Hz,z,z2_offset,slop,1.0
836829.792,s,0.021877616,0.000984655,0.000984655,mJy,Spectral Flux,329000000000000.0,,,Hz,z,z2_offset,slop,1.0
862058.592,s,0.015848932,0.003375097,0.003375097,mJy,Spectral Flux,329000000000000.0,,,Hz,z,z2_offset,slop,1.0
