Time,TimeLower,TimeUpper,TimeUnits,Value,ValueLower,ValueUpper,ValueUnits,ValueType,Wave,WaveLower,WaveUpper,WaveUnits,Filter,CalGroup,SlopGroup
11089.98864,,,s,0.313328572,0.022256861,0.022256861,mJy,Spectral Flux,6.29E+14,,,Hz,g,g_offset,slop
11323.44144,,,s,1.247383514,0.077884123,0.077884123,mJy,Spectral Flux,4.81E+14,,,Hz,r,r_offset,slop
11548.51344,,,s,3.104559588,0.084607868,0.084607868,mJy,Spectral Flux,3.94E+14,,,Hz,i,i_offset,slop
11779.37424,,,s,5.754399373,0.208142244,0.208142244,mJy,Spectral Flux,3.29E+14,,,Hz,z,z_offset,slop
12433.85424,,,s,0.304789499,0.019030445,0.019030445,mJy,Spectral Flux,6.29E+14,,,Hz,g,g_offset,slop
12660.48144,,,s,1.137627286,0.051201662,0.051201662,mJy,Spectral Flux,4.81E+14,,,Hz,r,r_offset,slop
12892.81104,,,s,2.805433638,0.076455855,0.076455855,mJy,Spectral Flux,3.94E+14,,,Hz,i,i_offset,slop
13118.14224,,,s,5.395106225,0.242819779,0.242819779,mJy,Spectral Flux,3.29E+14,,,Hz,z,z_offset,slop
13785.40944,,,s,0.231206479,0.020343664,0.020343664,mJy,Spectral Flux,6.29E+14,,,Hz,g,g_offset,slop
14018.77584,,,s,1.076465214,0.048448916,0.048448916,mJy,Spectral Flux,4.81E+14,,,Hz,r,r_offset,slop
14244.10704,,,s,2.654605562,0.096019675,0.096019675,mJy,Spectral Flux,3.94E+14,,,Hz,i,i_offset,slop
14477.04144,,,s,5.05824662,0.271945697,0.271945697,mJy,Spectral Flux,3.29E+14,,,Hz,z,z_offset,slop
14807.26224,,,s,0.242102905,0.023326742,0.023326742,mJy,Spectral Flux,6.29E+14,,,Hz,g,g_offset,slop
15040.11024,,,s,1,0.045007414,0.045007414,mJy,Spectral Flux,4.81E+14,,,Hz,r,r_offset,slop
15265.44144,,,s,2.488857318,0.090024399,0.090024399,mJy,Spectral Flux,3.94E+14,,,Hz,i,i_offset,slop
15500.10384,,,s,4.742419853,0.296107178,0.296107178,mJy,Spectral Flux,3.29E+14,,,Hz,z,z_offset,slop
16166.42064,,,s,0.207014135,0.028365377,0.028365377,mJy,Spectral Flux,6.29E+14,,,Hz,g,g_offset,slop
16391.75184,,,s,0.920449572,0.041427055,0.041427055,mJy,Spectral Flux,4.81E+14,,,Hz,r,r_offset,slop
16623.04464,,,s,2.355049284,0.105994678,0.105994678,mJy,Spectral Flux,3.94E+14,,,Hz,i,i_offset,slop
16847.77104,,,s,4.698941086,0.252628411,0.252628411,mJy,Spectral Flux,3.29E+14,,,Hz,z,z_offset,slop
89121.11184,,,s,0.029922646,0.005712356,0.005712356,mJy,Spectral Flux,6.29E+14,,,Hz,g,g_offset,slop
89468.35344,,,s,0.72443596,0.032604989,0.032604989,mJy,Spectral Flux,3.29E+14,,,Hz,z,z_offset,slop
89721.15984,,,s,0.73790423,0.039671826,0.039671826,mJy,Spectral Flux,3.29E+14,,,Hz,z,z_offset,slop
90104.60304,,,s,0.36982818,0.013377046,0.013377046,mJy,Spectral Flux,3.94E+14,,,Hz,i,i_offset,slop
90242.92944,,,s,0.366437575,0.009986441,0.009986441,mJy,Spectral Flux,3.94E+14,,,Hz,i,i_offset,slop
90381.25584,,,s,0.356451133,0.012893186,0.012893186,mJy,Spectral Flux,3.94E+14,,,Hz,i,i_offset,slop
90739.29744,,,s,0.134276496,0.007219086,0.007219086,mJy,Spectral Flux,4.81E+14,,,Hz,r,r_offset,slop
91041.26544,,,s,0.138038426,0.006212753,0.006212753,mJy,Spectral Flux,4.81E+14,,,Hz,r,r_offset,slop
93861.62064,,,s,0.022908677,0.00313898,0.00313898,mJy,Spectral Flux,6.29E+14,,,Hz,g,g_offset,slop
