Time,TimeUnits,Value,ValueLower,ValueUpper,ValueUnits,ValueType,Wave,WaveLower,WaveUpper,WaveUnits,Filter,CalGroup,SlopGroup,Include
641.0016,s,0.010626739,0.009344408,0.009344408,mJy,Spectral Flux,1.55E+15,,,Hz,uvw2,uvw2_offset,slop,1
814.1472,s,0.009691701,0.009480838,0.009480838,mJy,Spectral Flux,1.55E+15,,,Hz,uvw2,uvw2_offset,slop,1
1046.5632,s,0.012554517,0.010766383,0.010766383,mJy,Spectral Flux,1.55E+15,,,Hz,uvw2,uvw2_offset,slop,1
1219.6224,s,0.009444957,0.009313979,0.009313979,mJy,Spectral Flux,1.55E+15,,,Hz,uvw2,uvw2_offset,slop,1
6388.5888,s,0.002447936,0.001901423,0.001901423,mJy,Spectral Flux,1.55E+15,,,Hz,uvw2,uvw2_offset,slop,1
689.9904,s,0.030507035,0.017336604,0.017336604,mJy,Spectral Flux,1.33E+15,,,Hz,uvm2,uvm2_offset,slop,1
1095.4656,s,0.018518252,0.014252457,0.014252457,mJy,Spectral Flux,1.33E+15,,,Hz,uvm2,uvm2_offset,slop,1
6798.1248,s,0.007537026,0.00329083,0.00329083,mJy,Spectral Flux,1.33E+15,,,Hz,uvm2,uvm2_offset,slop,1
715.1328,s,0.068045592,0.0238275,0.0238275,mJy,Spectral Flux,1.15E+15,,,Hz,uvw1,uvw1_offset,slop,1
1120.2624,s,0.019444644,0.015178849,0.015178849,mJy,Spectral Flux,1.15E+15,,,Hz,uvw1,uvw1_offset,slop,1
1466.8992,s,0.030255198,0.01814364,0.01814364,mJy,Spectral Flux,1.15E+15,,,Hz,uvw1,uvw1_offset,slop,1
5567.3568,s,0.004830588,0.002646853,0.002646853,mJy,Spectral Flux,1.15E+15,,,Hz,uvw1,uvw1_offset,slop,1
7003.4112,s,0.004839494,0.003557164,0.003557164,mJy,Spectral Flux,1.15E+15,,,Hz,uvw1,uvw1_offset,slop,1
340.5024,s,0.245923482,0.027951838,0.027951838,mJy,Spectral Flux,8.65E+14,,,Hz,uvot-u,uvot-u_offset,slop,1
370.4832,s,0.265950003,0.028703402,0.028703402,mJy,Spectral Flux,8.65E+14,,,Hz,uvot-u,uvot-u_offset,slop,1
405.3024,s,0.137404198,0.019480795,0.019480795,mJy,Spectral Flux,8.65E+14,,,Hz,uvot-u,uvot-u_offset,slop,1
445.3056,s,0.146689828,0.020099653,0.020099653,mJy,Spectral Flux,8.65E+14,,,Hz,uvot-u,uvot-u_offset,slop,1
485.3952,s,0.101484566,0.018001191,0.018001191,mJy,Spectral Flux,8.65E+14,,,Hz,uvot-u,uvot-u_offset,slop,1
530.2368,s,0.113448824,0.017154653,0.017154653,mJy,Spectral Flux,8.65E+14,,,Hz,uvot-u,uvot-u_offset,slop,1
565.5744,s,0.125083493,0.028255707,0.028255707,mJy,Spectral Flux,8.65E+14,,,Hz,uvot-u,uvot-u_offset,slop,1
739.584,s,0.108043837,0.029917044,0.029917044,mJy,Spectral Flux,8.65E+14,,,Hz,uvot-u,uvot-u_offset,slop,1
1145.1456,s,0.067421747,0.033724067,0.033724067,mJy,Spectral Flux,8.65E+14,,,Hz,uvot-u,uvot-u_offset,slop,1
1304.8128,s,0.053456436,0.013017474,0.013017474,mJy,Spectral Flux,8.65E+14,,,Hz,uvot-u,uvot-u_offset,slop,1
1491.3504,s,0.042854852,0.039416107,0.039416107,mJy,Spectral Flux,8.65E+14,,,Hz,uvot-u,uvot-u_offset,slop,1
5772.2112,s,0.02030486,0.004324005,0.004324005,mJy,Spectral Flux,8.65E+14,,,Hz,uvot-u,uvot-u_offset,slop,1
