Time,TimeLower,TimeUpper,TimeUnits,Value,ValueLower,ValueUpper,ValueUnits,ValueType,Model,Frequency,FrequencyLower,FrequencyUpper,FrequencyUnits
193190.4,,,seconds,0.03373077,0.001864031,0.001864031,mjy,Spectral,SpectralFlux,6.29E+14,,,hz
10141632,,,seconds,0.023335991,0.001289595,0.001289595,mjy,Spectral,SpectralFlux,4.81E+14,,,hz
300499.2,,,seconds,0.022491905,0.000621474,0.000621474,mjy,Spectral,SpectralFlux,6.29E+14,,,hz
54086.4,,,seconds,0.288420582,0.023908066,0.023908066,mjy,Spectral,SpectralFlux,3.94E+14,,,hz
566438.4,,,seconds,0.016596872,0.000764314,0.000764314,mjy,Spectral,SpectralFlux,6.29E+14,,,hz
194918.4,,,seconds,0.086303071,0.020666897,0.020666897,mjy,Spectral,SpectralFlux,3.94E+14,,,hz
823824,,,seconds,0.015276584,0.000703513,0.000703513,mjy,Spectral,SpectralFlux,6.29E+14,,,hz
300499.2,,,seconds,0.047865902,0.001322584,0.001322584,mjy,Spectral,SpectralFlux,3.94E+14,,,hz
996019.2,,,seconds,0.014860255,0.000547472,0.000547472,mjy,Spectral,SpectralFlux,6.29E+14,,,hz
460684.8,,,seconds,0.044465814,0.004095453,0.004095453,mjy,Spectral,SpectralFlux,3.94E+14,,,hz
1169769.6,,,seconds,0.015417936,0.000710022,0.000710022,mjy,Spectral,SpectralFlux,6.29E+14,,,hz
566438.4,,,seconds,0.04092854,0.001884829,0.001884829,mjy,Spectral,SpectralFlux,3.94E+14,,,hz
1343001.6,,,seconds,0.014455271,0.00066569,0.00066569,mjy,Spectral,SpectralFlux,6.29E+14,,,hz
725760,,,seconds,0.043654222,0.004824843,0.004824843,mjy,Spectral,SpectralFlux,3.94E+14,,,hz
1597968,,,seconds,0.014191433,0.000784248,0.000784248,mjy,Spectral,SpectralFlux,6.29E+14,,,hz
812246.4,,,seconds,0.04092854,0.001130897,0.001130897,mjy,Spectral,SpectralFlux,3.94E+14,,,hz
1858204.8,,,seconds,0.014322745,0.001055339,0.001055339,mjy,Spectral,SpectralFlux,6.29E+14,,,hz
823824,,,seconds,0.036645972,0.001687609,0.001687609,mjy,Spectral,SpectralFlux,3.94E+14,,,hz
2198966.4,,,seconds,0.013552713,0.000998601,0.000998601,mjy,Spectral,SpectralFlux,6.29E+14,,,hz
978739.2,,,seconds,0.033115114,0.001220006,0.001220006,mjy,Spectral,SpectralFlux,3.94E+14,,,hz
2631484.8,,,seconds,0.013305348,0.000612734,0.000612734,mjy,Spectral,SpectralFlux,6.29E+14,,,hz
996019.2,,,seconds,0.034675781,0.001277503,0.001277503,mjy,Spectral,SpectralFlux,3.94E+14,,,hz
2892240,,,seconds,0.012942741,0.000953656,0.000953656,mjy,Spectral,SpectralFlux,6.29E+14,,,hz
1063670.4,,,seconds,0.035320452,0.00097594,0.00097594,mjy,Spectral,SpectralFlux,3.94E+14,,,hz
2975097.6,,,seconds,0.012360221,0.000683051,0.000683051,mjy,Spectral,SpectralFlux,6.29E+14,,,hz
1148601.6,,,seconds,0.035320452,0.001301254,0.001301254,mjy,Spectral,SpectralFlux,3.94E+14,,,hz
3491337.6,,,seconds,0.012246902,0.000676789,0.000676789,mjy,Spectral,SpectralFlux,6.29E+14,,,hz
1169769.6,,,seconds,0.037327272,0.001718984,0.001718984,mjy,Spectral,SpectralFlux,3.94E+14,,,hz
