Time,TimeUnits,Value,ValueLower,ValueUpper,ValueUnits,ValueType,Wave,WaveLower,WaveUpper,WaveUnits,Filter,CalGroup,SlopGroup,Include
2280.96,s,0.369147558,0.018557174,0.018557174,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,slop,1
2599.199971,s,0.310455959,0.015606727,0.015606727,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,slop,1
3283.2,s,0.286022369,0.015127986,0.015127986,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,slop,1
3924.72,s,0.285759054,0.014864671,0.014864671,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,slop,1
4566.959971,s,0.272144775,0.014631276,0.014631276,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,slop,1
5208.120029,s,0.223460106,0.013179122,0.013179122,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,slop,1
5849.999971,s,0.224284882,0.012058192,0.012058192,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,slop,1
6492.240029,s,0.214783047,0.011172627,0.011172627,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,slop,1
7134.119971,s,0.198975681,0.010350357,0.010350357,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,slop,1
7775.280029,s,0.192132131,0.012493391,0.012493391,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,slop,1
8417.159971,s,0.172663285,0.016348521,0.016348521,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,slop,1
9059.04,s,0.156602972,0.010721546,0.010721546,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,slop,1
9700.199971,s,0.169044093,0.010700681,0.010700681,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,slop,1
10342.08,s,0.163983443,0.009813397,0.009813397,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,slop,1
10983.96003,s,0.167803108,0.008582235,0.008582235,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,slop,1
11626.2,s,0.153886315,0.008541347,0.008541347,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,slop,1
12267.00003,s,0.142036512,0.009235924,0.009235924,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,slop,1
12909.24,s,0.129897263,0.009781501,0.009781501,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,slop,1
13551.12003,s,0.143615065,0.01479011,0.01479011,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,slop,1
14192.28,s,0.162480034,0.019919274,0.019919274,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,slop,1
15476.03997,s,0.132312233,0.015146666,0.015146666,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,slop,1
16118.28003,s,0.120337227,0.014460624,0.014460624,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,slop,1
16759.07997,s,0.132800589,0.011461704,0.011461704,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,slop,1
17400.96,s,0.098627949,0.010644699,0.010644699,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,slop,1
18043.19997,s,0.120559101,0.045466007,0.045466007,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,slop,1
18684,s,0.127291675,0.01560535,0.01560535,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,slop,1
21251.16,s,0.094102248,0.008121742,0.008121742,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,slop,1
